DataCenter,Instance,On-Demand,Reserved,Spot,vCPU,RAM,GPU,InterruptFrequency
eu-south-1,t4g.2xlarge,0.3072,0.1842,0.0308,8,32.0,0,10
eu-south-1,t4g.large,0.0768,0.0461,0.078,2,8.0,0,15
eu-south-1,t4g.small,0.0192,0.0115,0.0019,2,2.0,0,10
eu-south-1,g4dn.xlarge,0.616,0.420,0.1481,4,16.0,16,5
eu-south-1,g4dn.2xlarge,0.88,0.601,0.1929,8,32.0,16,5
eu-south-1,g4dn.4xlarge,1.41,0.962,0.3391,16,64.0,16,5
eu-west-2,t4g.2xlarge,0.3008,0.1808,0.01148,8,32.0,0,5
eu-west-2,t4g.large,0.0752,0.0452,0.0267,2,8.0,0,10
eu-west-2,t4g.small,0.0188,0.0112,0.0061,2,2.0,0,5
eu-west-2,g4dn.xlarge,0.615,0.420,0.1979,4,16.0,16,5
eu-west-2,g4dn.2xlarge,0.88,0.600,0.2867,8,32.0,16,5
eu-west-2,g4dn.4xlarge,1.409,0.961,0.4682,16,64.0,16,20
us-east-1,t4g.2xlarge,0.02688,0.1606,0.1135,8,32.0,0,15
us-east-1,t4g.large,0.0672,0.0402,0.0268,2,8.0,0,20
us-east-1,t4g.small,0.0168,0.01,0.009,2,2.0,0,5
us-east-1,g4dn.xlarge,0.526,0.331,0.1503,4,16.0,16,5
us-east-1,g4dn.2xlarge,0.752,0.474,0.2317,8,32.0,16,20
us-east-1,g4dn.4xlarge,1.204,0.759,0.3531,16,64.0,16,20
us-west-1,t4g.2xlarge,0.32,0.1918,0.0849,8,32.0,0,10
us-west-1,t4g.large,0.08,0.048,0.0248,2,8.0,0,10
us-west-1,t4g.small,0.02,0.012,0.0061,2,2.0,0,5
us-west-1,g4dn.xlarge,0.631,0.444,0.2279,4,16.0,16,5
us-west-1,g4dn.2xlarge,0.902,0.635,0.3208,8,32.0,16,5
us-west-1,g4dn.4xlarge,1.445,1.016,0.5183,16,64.0,16,5
ap-northeast-3,t4g.2xlarge,0.3482,0.2089,0.0415,8,32.0,0,10
ap-northeast-3,t4g.large,0.0879,0.0522,0.0298,2,8.0,0,15
ap-northeast-3,t4g.small,0.0218,0.013,0.0031,2,2.0,0,15
ap-northeast-3,g4dn.xlarge,0.71,0.485,0.2575,4,16.0,16,5
ap-northeast-3,g4dn.2xlarge,1.015,0.693,0.3708,8,32.0,16,20
ap-northeast-3,g4dn.4xlarge,1.625,1.109,0.577,16,64.0,16,5
ap-south-1,t4g.2xlarge,0.1792,0.108,0.076,8,32.0,0,10
ap-south-1,t4g.large,0.0448,0.027,0.0211,2,8.0,0,15
ap-south-1,t4g.small,0.0112,0.0068,0.0049,2,2.0,0,5
ap-south-1,g4dn.xlarge,0.579,0.365,0.151,4,16.0,16,5
ap-south-1,g4dn.2xlarge,0.828,0.521,0.2471,8,32.0,16,5
ap-south-1,g4dn.4xlarge,1.325,0.835,0.3402,16,64.0,16,5
