Variable,Value
"o[24,t4g.2xlarge,us-east-1]",1.0
"o[25,t4g.2xlarge,us-east-1]",1.0
"o[26,t4g.2xlarge,us-east-1]",1.0
"o[27,t4g.2xlarge,us-east-1]",1.0
"o[28,t4g.2xlarge,us-east-1]",1.0
"o[29,t4g.2xlarge,us-east-1]",1.0
"o[30,t4g.2xlarge,us-east-1]",1.0
"o[31,t4g.2xlarge,us-east-1]",1.0
"o[32,t4g.2xlarge,us-east-1]",1.0
"o[33,t4g.2xlarge,us-east-1]",1.0
"o[34,t4g.2xlarge,us-east-1]",1.0
"o[35,t4g.2xlarge,us-east-1]",1.0
"o[36,t4g.2xlarge,us-east-1]",1.0
"o[37,t4g.2xlarge,us-east-1]",1.0
"o[38,t4g.2xlarge,us-east-1]",1.0
"s[72,t4g.2xlarge,eu-west-2]",1.0
"s[73,t4g.2xlarge,eu-west-2]",1.0
"s[74,t4g.2xlarge,eu-west-2]",1.0
"s[75,t4g.2xlarge,eu-west-2]",1.0
"s[76,t4g.2xlarge,eu-west-2]",1.0
"s[77,t4g.2xlarge,eu-west-2]",1.0
"s[78,t4g.2xlarge,eu-west-2]",1.0
"s[79,t4g.2xlarge,eu-west-2]",1.0
"s[80,t4g.2xlarge,eu-west-2]",1.0
"s[81,t4g.2xlarge,eu-west-2]",1.0
"s[72,g4dn.2xlarge,us-west-1]",2.0
"s[73,g4dn.2xlarge,us-west-1]",2.0
"s[74,g4dn.2xlarge,us-west-1]",2.0
"s[75,g4dn.2xlarge,us-west-1]",2.0
"s[76,g4dn.2xlarge,us-west-1]",2.0
"s[77,g4dn.2xlarge,us-west-1]",2.0
"s[78,g4dn.2xlarge,us-west-1]",2.0
"s[79,g4dn.2xlarge,us-west-1]",2.0
"s[80,g4dn.2xlarge,us-west-1]",2.0
"s[81,g4dn.2xlarge,us-west-1]",2.0
"s[82,g4dn.2xlarge,us-west-1]",2.0
"s[83,g4dn.2xlarge,us-west-1]",2.0
"s[84,g4dn.2xlarge,us-west-1]",2.0
"s[85,g4dn.2xlarge,us-west-1]",2.0
"s[86,g4dn.2xlarge,us-west-1]",2.0
"s[87,g4dn.2xlarge,us-west-1]",2.0
"s[88,g4dn.2xlarge,us-west-1]",2.0
"s[89,g4dn.2xlarge,us-west-1]",2.0
"s[90,g4dn.2xlarge,us-west-1]",2.0
"s[91,g4dn.2xlarge,us-west-1]",2.0
"a[24,1]",1.0
"a[72,2]",1.0
"a[72,3]",1.0
"y[24,1,t4g.2xlarge,us-east-1,1]",1.0
"y[24,1,t4g.2xlarge,us-east-1,2]",1.0
"y[24,1,t4g.2xlarge,us-east-1,3]",1.0
"z[72,2,g4dn.2xlarge,us-west-1,1]",1.0
"z[72,2,g4dn.2xlarge,us-west-1,2]",1.0
"z[72,3,t4g.2xlarge,eu-west-2,1]",1.0
"z[72,3,t4g.2xlarge,eu-west-2,2]",1.0
"d[3,eu-west-2]",1.0
"d[1,us-east-1]",1.0
"d[2,us-west-1]",1.0
L[1],5.15
L[2],3.24
L[3],3.88
