Variable,Value
"o[69,t4g.2xlarge,us-east-1]",1.0
"o[70,t4g.2xlarge,us-east-1]",1.0
"o[71,t4g.2xlarge,us-east-1]",1.0
"o[72,t4g.2xlarge,us-east-1]",1.0
"o[73,t4g.2xlarge,us-east-1]",1.0
"o[74,t4g.2xlarge,us-east-1]",1.0
"o[75,t4g.2xlarge,us-east-1]",1.0
"o[76,t4g.2xlarge,us-east-1]",1.0
"o[77,t4g.2xlarge,us-east-1]",1.0
"o[78,t4g.2xlarge,us-east-1]",1.0
"o[79,t4g.2xlarge,us-east-1]",1.0
"o[80,t4g.2xlarge,us-east-1]",1.0
"o[81,t4g.2xlarge,us-east-1]",1.0
"o[82,t4g.2xlarge,us-east-1]",1.0
"o[83,t4g.2xlarge,us-east-1]",1.0
"s[17,t4g.2xlarge,eu-west-2]",1.0
"s[18,t4g.2xlarge,eu-west-2]",1.0
"s[19,t4g.2xlarge,eu-west-2]",1.0
"s[20,t4g.2xlarge,eu-west-2]",1.0
"s[21,t4g.2xlarge,eu-west-2]",1.0
"s[22,t4g.2xlarge,eu-west-2]",1.0
"s[23,t4g.2xlarge,eu-west-2]",1.0
"s[24,t4g.2xlarge,eu-west-2]",1.0
"s[25,t4g.2xlarge,eu-west-2]",1.0
"s[26,t4g.2xlarge,eu-west-2]",1.0
"s[4,g4dn.2xlarge,us-west-1]",2.0
"s[5,g4dn.2xlarge,us-west-1]",2.0
"s[6,g4dn.2xlarge,us-west-1]",2.0
"s[7,g4dn.2xlarge,us-west-1]",2.0
"s[8,g4dn.2xlarge,us-west-1]",2.0
"s[9,g4dn.2xlarge,us-west-1]",2.0
"s[10,g4dn.2xlarge,us-west-1]",2.0
"s[11,g4dn.2xlarge,us-west-1]",2.0
"s[12,g4dn.2xlarge,us-west-1]",2.0
"s[13,g4dn.2xlarge,us-west-1]",2.0
"s[14,g4dn.2xlarge,us-west-1]",2.0
"s[15,g4dn.2xlarge,us-west-1]",2.0
"s[16,g4dn.2xlarge,us-west-1]",2.0
"s[17,g4dn.2xlarge,us-west-1]",2.0
"s[18,g4dn.2xlarge,us-west-1]",2.0
"s[19,g4dn.2xlarge,us-west-1]",2.0
"s[20,g4dn.2xlarge,us-west-1]",2.0
"s[21,g4dn.2xlarge,us-west-1]",2.0
"s[22,g4dn.2xlarge,us-west-1]",2.0
"s[23,g4dn.2xlarge,us-west-1]",2.0
"a[69,1]",1.0
"a[4,2]",1.0
"a[17,3]",1.0
"y[69,1,t4g.2xlarge,us-east-1,1]",1.0
"y[69,1,t4g.2xlarge,us-east-1,2]",1.0
"y[69,1,t4g.2xlarge,us-east-1,3]",1.0
"z[4,2,g4dn.2xlarge,us-west-1,1]",1.0
"z[4,2,g4dn.2xlarge,us-west-1,2]",1.0
"z[17,3,t4g.2xlarge,eu-west-2,1]",1.0
"z[17,3,t4g.2xlarge,eu-west-2,2]",1.0
"d[3,eu-west-2]",1.0
"d[1,us-east-1]",1.0
"d[2,us-west-1]",1.0
L[1],5.15
L[2],3.24
L[3],3.88
