Variable,Value
"o[1,g4dn.xlarge,eu-west-2]",1.0
"o[2,g4dn.xlarge,eu-west-2]",1.0
"o[3,g4dn.xlarge,eu-west-2]",1.0
"o[4,g4dn.xlarge,eu-west-2]",1.0
"o[5,g4dn.xlarge,eu-west-2]",1.0
"o[6,g4dn.xlarge,eu-west-2]",1.0
"o[7,g4dn.xlarge,eu-west-2]",1.0
"o[8,g4dn.xlarge,eu-west-2]",1.0
"o[9,g4dn.xlarge,eu-west-2]",1.0
"o[10,g4dn.xlarge,eu-west-2]",1.0
"o[1,t4g.2xlarge,us-east-1]",1.0
"o[2,t4g.2xlarge,us-east-1]",1.0
"o[3,t4g.2xlarge,us-east-1]",1.0
"o[4,t4g.2xlarge,us-east-1]",1.0
"o[5,t4g.2xlarge,us-east-1]",1.0
"o[6,t4g.2xlarge,us-east-1]",1.0
"o[7,t4g.2xlarge,us-east-1]",1.0
"o[8,t4g.2xlarge,us-east-1]",1.0
"o[9,t4g.2xlarge,us-east-1]",1.0
"o[10,t4g.2xlarge,us-east-1]",1.0
"o[11,t4g.2xlarge,us-east-1]",1.0
"o[12,t4g.2xlarge,us-east-1]",1.0
"o[13,t4g.2xlarge,us-east-1]",1.0
"o[14,t4g.2xlarge,us-east-1]",1.0
"o[15,t4g.2xlarge,us-east-1]",1.0
"o[1,t4g.large,us-east-1]",1.0
"o[2,t4g.large,us-east-1]",1.0
"o[3,t4g.large,us-east-1]",1.0
"o[4,t4g.large,us-east-1]",1.0
"o[5,t4g.large,us-east-1]",1.0
"o[6,t4g.large,us-east-1]",1.0
"o[7,t4g.large,us-east-1]",1.0
"o[8,t4g.large,us-east-1]",1.0
"o[9,t4g.large,us-east-1]",1.0
"o[10,t4g.large,us-east-1]",1.0
"o[11,t4g.large,us-east-1]",1.0
"o[12,t4g.large,us-east-1]",1.0
"o[13,t4g.large,us-east-1]",1.0
"o[14,t4g.large,us-east-1]",1.0
"o[15,t4g.large,us-east-1]",1.0
"o[1,g4dn.xlarge,us-east-1]",1.0
"o[2,g4dn.xlarge,us-east-1]",1.0
"o[3,g4dn.xlarge,us-east-1]",1.0
"o[4,g4dn.xlarge,us-east-1]",1.0
"o[5,g4dn.xlarge,us-east-1]",1.0
"o[6,g4dn.xlarge,us-east-1]",1.0
"o[7,g4dn.xlarge,us-east-1]",1.0
"o[8,g4dn.xlarge,us-east-1]",1.0
"o[9,g4dn.xlarge,us-east-1]",1.0
"o[10,g4dn.xlarge,us-east-1]",1.0
"o[11,g4dn.xlarge,us-east-1]",1.0
"o[12,g4dn.xlarge,us-east-1]",1.0
"o[13,g4dn.xlarge,us-east-1]",1.0
"o[14,g4dn.xlarge,us-east-1]",1.0
"o[15,g4dn.xlarge,us-east-1]",1.0
"o[1,g4dn.4xlarge,us-west-1]",1.0
"o[2,g4dn.4xlarge,us-west-1]",1.0
"o[3,g4dn.4xlarge,us-west-1]",1.0
"o[4,g4dn.4xlarge,us-west-1]",1.0
"o[5,g4dn.4xlarge,us-west-1]",1.0
"o[6,g4dn.4xlarge,us-west-1]",1.0
"o[7,g4dn.4xlarge,us-west-1]",1.0
"o[8,g4dn.4xlarge,us-west-1]",1.0
"o[9,g4dn.4xlarge,us-west-1]",1.0
"o[10,g4dn.4xlarge,us-west-1]",1.0
"o[11,g4dn.4xlarge,us-west-1]",1.0
"o[12,g4dn.4xlarge,us-west-1]",1.0
"o[13,g4dn.4xlarge,us-west-1]",1.0
"o[14,g4dn.4xlarge,us-west-1]",1.0
"o[15,g4dn.4xlarge,us-west-1]",1.0
"o[16,g4dn.4xlarge,us-west-1]",1.0
"o[17,g4dn.4xlarge,us-west-1]",1.0
"o[18,g4dn.4xlarge,us-west-1]",1.0
"o[19,g4dn.4xlarge,us-west-1]",1.0
"o[20,g4dn.4xlarge,us-west-1]",1.0
"o[1,g4dn.2xlarge,us-west-1]",1.0
"o[2,g4dn.2xlarge,us-west-1]",1.0
"o[3,g4dn.2xlarge,us-west-1]",1.0
"o[4,g4dn.2xlarge,us-west-1]",1.0
"o[5,g4dn.2xlarge,us-west-1]",1.0
"o[6,g4dn.2xlarge,us-west-1]",1.0
"o[7,g4dn.2xlarge,us-west-1]",1.0
"o[8,g4dn.2xlarge,us-west-1]",1.0
"o[9,g4dn.2xlarge,us-west-1]",1.0
"o[10,g4dn.2xlarge,us-west-1]",1.0
"o[11,g4dn.2xlarge,us-west-1]",1.0
"o[12,g4dn.2xlarge,us-west-1]",1.0
"o[13,g4dn.2xlarge,us-west-1]",1.0
"o[14,g4dn.2xlarge,us-west-1]",1.0
"o[15,g4dn.2xlarge,us-west-1]",1.0
"o[16,g4dn.2xlarge,us-west-1]",1.0
"o[17,g4dn.2xlarge,us-west-1]",1.0
"o[18,g4dn.2xlarge,us-west-1]",1.0
"o[19,g4dn.2xlarge,us-west-1]",1.0
"o[20,g4dn.2xlarge,us-west-1]",1.0
"a[1,1]",1.0
"a[1,2]",1.0
"a[1,3]",1.0
"y[1,1,t4g.2xlarge,us-east-1,2]",1.0
"y[1,1,t4g.large,us-east-1,1]",1.0
"y[1,1,g4dn.xlarge,us-east-1,3]",1.0
"y[1,2,g4dn.4xlarge,us-west-1,1]",1.0
"y[1,2,g4dn.2xlarge,us-west-1,2]",1.0
"y[1,3,g4dn.xlarge,eu-west-2,1]",1.0
"y[1,3,g4dn.xlarge,eu-west-2,2]",1.0
"d[3,eu-west-2]",1.0
"d[1,us-east-1]",1.0
"d[2,us-west-1]",1.0
L[1],5.15
L[2],3.2399999999999913
L[3],3.8799999999999812
