Variable,Value
"o[1,t4g.2xlarge,us-east-1]",2.0
"o[2,t4g.2xlarge,us-east-1]",2.0
"o[3,t4g.2xlarge,us-east-1]",2.0
"o[4,t4g.2xlarge,us-east-1]",2.0
"o[5,t4g.2xlarge,us-east-1]",2.0
"o[6,t4g.2xlarge,us-east-1]",2.0
"o[7,t4g.2xlarge,us-east-1]",2.0
"o[8,t4g.2xlarge,us-east-1]",2.0
"o[9,t4g.2xlarge,us-east-1]",2.0
"o[10,t4g.2xlarge,us-east-1]",2.0
"o[11,t4g.2xlarge,us-east-1]",2.0
"o[12,t4g.2xlarge,us-east-1]",2.0
"o[13,t4g.2xlarge,us-east-1]",2.0
"o[14,t4g.2xlarge,us-east-1]",2.0
"o[15,t4g.2xlarge,us-east-1]",2.0
"o[16,t4g.2xlarge,us-east-1]",2.0
"o[17,t4g.2xlarge,us-east-1]",2.0
"o[18,t4g.2xlarge,us-east-1]",2.0
"o[19,t4g.2xlarge,us-east-1]",2.0
"s[34,t4g.small,eu-south-1]",2.0
"s[35,t4g.small,eu-south-1]",2.0
"s[36,t4g.small,eu-south-1]",2.0
"s[37,t4g.small,eu-south-1]",2.0
"s[38,t4g.small,eu-south-1]",2.0
"s[39,t4g.small,eu-south-1]",2.0
"s[40,t4g.small,eu-south-1]",2.0
"s[41,t4g.small,eu-south-1]",2.0
"s[42,t4g.small,eu-south-1]",2.0
"s[43,t4g.small,eu-south-1]",2.0
"s[44,t4g.small,eu-south-1]",2.0
"s[45,t4g.small,eu-south-1]",2.0
"s[46,t4g.small,eu-south-1]",2.0
"s[47,t4g.small,eu-south-1]",2.0
"s[48,t4g.small,eu-south-1]",2.0
"s[49,t4g.small,eu-south-1]",2.0
"s[50,t4g.small,eu-south-1]",2.0
"s[51,t4g.small,eu-south-1]",2.0
"s[52,t4g.small,eu-south-1]",2.0
"s[53,t4g.small,eu-south-1]",2.0
"s[54,t4g.small,eu-south-1]",2.0
"s[55,t4g.small,eu-south-1]",2.0
"s[32,g4dn.2xlarge,eu-south-1]",1.0
"s[33,g4dn.2xlarge,eu-south-1]",1.0
"s[34,g4dn.2xlarge,eu-south-1]",3.0
"s[35,g4dn.2xlarge,eu-south-1]",3.0
"s[36,g4dn.2xlarge,eu-south-1]",3.0
"s[37,g4dn.2xlarge,eu-south-1]",3.0
"s[38,g4dn.2xlarge,eu-south-1]",3.0
"s[39,g4dn.2xlarge,eu-south-1]",3.0
"s[40,g4dn.2xlarge,eu-south-1]",5.0
