Variable,Value
"o[74,t4g.2xlarge,us-east-1]",2.0
"o[75,t4g.2xlarge,us-east-1]",2.0
"o[76,t4g.2xlarge,us-east-1]",2.0
"o[77,t4g.2xlarge,us-east-1]",2.0
"o[78,t4g.2xlarge,us-east-1]",2.0
"o[79,t4g.2xlarge,us-east-1]",2.0
"o[80,t4g.2xlarge,us-east-1]",2.0
"o[81,t4g.2xlarge,us-east-1]",2.0
"o[82,t4g.2xlarge,us-east-1]",2.0
"o[83,t4g.2xlarge,us-east-1]",2.0
"o[84,t4g.2xlarge,us-east-1]",2.0
"o[85,t4g.2xlarge,us-east-1]",2.0
"o[86,t4g.2xlarge,us-east-1]",2.0
"o[87,t4g.2xlarge,us-east-1]",2.0
"o[88,t4g.2xlarge,us-east-1]",2.0
"o[89,t4g.2xlarge,us-east-1]",2.0
"o[90,t4g.2xlarge,us-east-1]",2.0
"o[91,t4g.2xlarge,us-east-1]",2.0
"o[92,t4g.2xlarge,us-east-1]",2.0
"s[47,t4g.small,eu-south-1]",2.0
"s[48,t4g.small,eu-south-1]",2.0
"s[49,t4g.small,eu-south-1]",2.0
"s[50,t4g.small,eu-south-1]",2.0
"s[51,t4g.small,eu-south-1]",2.0
"s[52,t4g.small,eu-south-1]",2.0
"s[53,t4g.small,eu-south-1]",2.0
"s[54,t4g.small,eu-south-1]",2.0
"s[55,t4g.small,eu-south-1]",2.0
"s[56,t4g.small,eu-south-1]",2.0
"s[57,t4g.small,eu-south-1]",2.0
"s[58,t4g.small,eu-south-1]",2.0
"s[59,t4g.small,eu-south-1]",2.0
"s[60,t4g.small,eu-south-1]",2.0
"s[61,t4g.small,eu-south-1]",2.0
"s[62,t4g.small,eu-south-1]",2.0
"s[63,t4g.small,eu-south-1]",2.0
"s[64,t4g.small,eu-south-1]",2.0
"s[65,t4g.small,eu-south-1]",2.0
"s[66,t4g.small,eu-south-1]",2.0
"s[67,t4g.small,eu-south-1]",2.0
"s[68,t4g.small,eu-south-1]",2.0
"s[4,g4dn.2xlarge,eu-south-1]",3.0
"s[5,g4dn.2xlarge,eu-south-1]",3.0
"s[6,g4dn.2xlarge,eu-south-1]",3.0
"s[7,g4dn.2xlarge,eu-south-1]",3.0
"s[8,g4dn.2xlarge,eu-south-1]",3.0
"s[9,g4dn.2xlarge,eu-south-1]",3.0
"s[10,g4dn.2xlarge,eu-south-1]",3.0
"s[11,g4dn.2xlarge,eu-south-1]",3.0
"s[12,g4dn.2xlarge,eu-south-1]",3.0
"s[13,g4dn.2xlarge,eu-south-1]",3.0
"s[14,g4dn.2xlarge,eu-south-1]",3.0
"s[15,g4dn.2xlarge,eu-south-1]",3.0
"s[16,g4dn.2xlarge,eu-south-1]",3.0
