Variable,Value
"o[12,t4g.2xlarge,us-east-1]",1.0
"o[13,t4g.2xlarge,us-east-1]",1.0
"o[14,t4g.2xlarge,us-east-1]",1.0
"o[15,t4g.2xlarge,us-east-1]",1.0
"o[16,t4g.2xlarge,us-east-1]",1.0
"o[17,t4g.2xlarge,us-east-1]",1.0
"o[18,t4g.2xlarge,us-east-1]",1.0
"o[19,t4g.2xlarge,us-east-1]",1.0
"o[20,t4g.2xlarge,us-east-1]",1.0
"o[21,t4g.2xlarge,us-east-1]",1.0
"o[22,t4g.2xlarge,us-east-1]",1.0
"o[23,t4g.2xlarge,us-east-1]",1.0
"o[24,t4g.2xlarge,us-east-1]",1.0
"o[25,t4g.2xlarge,us-east-1]",1.0
"o[26,t4g.2xlarge,us-east-1]",1.0
"o[27,t4g.2xlarge,us-east-1]",1.0
"o[28,t4g.2xlarge,us-east-1]",1.0
"o[29,t4g.2xlarge,us-east-1]",1.0
"o[30,t4g.2xlarge,us-east-1]",1.0
"s[73,t4g.small,eu-south-1]",2.0
"s[74,t4g.small,eu-south-1]",2.0
"s[75,t4g.small,eu-south-1]",2.0
"s[76,t4g.small,eu-south-1]",2.0
"s[77,t4g.small,eu-south-1]",2.0
"s[78,t4g.small,eu-south-1]",2.0
"s[79,t4g.small,eu-south-1]",2.0
"s[80,t4g.small,eu-south-1]",2.0
"s[81,t4g.small,eu-south-1]",2.0
"s[82,t4g.small,eu-south-1]",2.0
"s[83,t4g.small,eu-south-1]",2.0
"s[84,t4g.small,eu-south-1]",2.0
"s[85,t4g.small,eu-south-1]",2.0
"s[86,t4g.small,eu-south-1]",2.0
"s[87,t4g.small,eu-south-1]",2.0
"s[88,t4g.small,eu-south-1]",2.0
"s[89,t4g.small,eu-south-1]",2.0
"s[90,t4g.small,eu-south-1]",2.0
"s[91,t4g.small,eu-south-1]",2.0
"s[92,t4g.small,eu-south-1]",2.0
"s[93,t4g.small,eu-south-1]",2.0
"s[94,t4g.small,eu-south-1]",2.0
