Variable,Value
"r[g4dn.4xlarge,eu-south-1]",4.0
"r[g4dn.2xlarge,eu-south-1]",1.0
"r[g4dn.xlarge,eu-south-1]",5.0
"r[g4dn.4xlarge,eu-west-2]",4.0
"r[g4dn.2xlarge,eu-west-2]",3.0
"r[g4dn.xlarge,eu-west-2]",6.0
"r[g4dn.4xlarge,us-east-1]",6.0
"r[g4dn.2xlarge,us-east-1]",7.0
"r[g4dn.xlarge,us-east-1]",9.0
"r[g4dn.4xlarge,us-west-1]",4.0
"r[g4dn.2xlarge,us-west-1]",4.0
"r[g4dn.xlarge,us-west-1]",5.0
"r[t4g.small,ap-northeast-3]",4.0
"r[g4dn.4xlarge,ap-northeast-3]",4.0
"r[t4g.2xlarge,ap-northeast-3]",1.0
"r[g4dn.2xlarge,ap-northeast-3]",2.0
"r[g4dn.xlarge,ap-northeast-3]",4.0
"r[g4dn.4xlarge,ap-south-1]",2.0
"r[t4g.2xlarge,ap-south-1]",1.0
"r[g4dn.2xlarge,ap-south-1]",3.0
"r[g4dn.xlarge,ap-south-1]",4.0
"o[1,g4dn.4xlarge,eu-south-1]",10.0
"o[2,g4dn.4xlarge,eu-south-1]",10.0
"o[3,g4dn.4xlarge,eu-south-1]",10.0
"o[4,g4dn.4xlarge,eu-south-1]",10.0
"o[5,g4dn.4xlarge,eu-south-1]",10.0
"o[6,g4dn.4xlarge,eu-south-1]",10.0
"o[7,g4dn.4xlarge,eu-south-1]",10.0
"o[8,g4dn.4xlarge,eu-south-1]",10.0
"o[9,g4dn.4xlarge,eu-south-1]",10.0
"o[10,g4dn.4xlarge,eu-south-1]",10.0
"o[11,g4dn.4xlarge,eu-south-1]",8.0
"o[12,g4dn.4xlarge,eu-south-1]",8.0
"o[13,g4dn.4xlarge,eu-south-1]",8.0
"o[14,g4dn.4xlarge,eu-south-1]",8.0
"o[15,g4dn.4xlarge,eu-south-1]",8.0
"o[16,g4dn.4xlarge,eu-south-1]",8.0
"o[17,g4dn.4xlarge,eu-south-1]",8.0
"o[18,g4dn.4xlarge,eu-south-1]",8.0
"o[19,g4dn.4xlarge,eu-south-1]",8.0
"o[20,g4dn.4xlarge,eu-south-1]",8.0
"o[21,g4dn.4xlarge,eu-south-1]",8.0
"o[22,g4dn.4xlarge,eu-south-1]",8.0
"o[23,g4dn.4xlarge,eu-south-1]",8.0
"o[24,g4dn.4xlarge,eu-south-1]",8.0
"o[25,g4dn.4xlarge,eu-south-1]",8.0
"o[26,g4dn.4xlarge,eu-south-1]",3.0
"o[27,g4dn.4xlarge,eu-south-1]",3.0
"o[28,g4dn.4xlarge,eu-south-1]",3.0
"o[29,g4dn.4xlarge,eu-south-1]",3.0
"o[30,g4dn.4xlarge,eu-south-1]",3.0
"o[31,g4dn.4xlarge,eu-south-1]",3.0
"o[32,g4dn.4xlarge,eu-south-1]",3.0
"o[33,g4dn.4xlarge,eu-south-1]",3.0
"o[34,g4dn.4xlarge,eu-south-1]",3.0
"o[35,g4dn.4xlarge,eu-south-1]",3.0
"o[36,g4dn.4xlarge,eu-south-1]",3.0
"o[37,g4dn.4xlarge,eu-south-1]",3.0
"o[38,g4dn.4xlarge,eu-south-1]",3.0
"o[39,g4dn.4xlarge,eu-south-1]",3.0
"o[40,g4dn.4xlarge,eu-south-1]",3.0
"o[41,g4dn.4xlarge,eu-south-1]",3.0
"o[42,g4dn.4xlarge,eu-south-1]",3.0
"o[43,g4dn.4xlarge,eu-south-1]",3.0
"o[44,g4dn.4xlarge,eu-south-1]",3.0
"o[45,g4dn.4xlarge,eu-south-1]",3.0
"o[46,g4dn.4xlarge,eu-south-1]",3.0
"o[47,g4dn.4xlarge,eu-south-1]",3.0
"o[48,g4dn.4xlarge,eu-south-1]",1.0
"o[49,g4dn.4xlarge,eu-south-1]",1.0
"o[50,g4dn.4xlarge,eu-south-1]",1.0
"o[51,g4dn.4xlarge,eu-south-1]",1.0
"o[52,g4dn.4xlarge,eu-south-1]",1.0
"o[53,g4dn.4xlarge,eu-south-1]",1.0
"o[54,g4dn.4xlarge,eu-south-1]",1.0
"o[55,g4dn.4xlarge,eu-south-1]",1.0
"o[56,g4dn.4xlarge,eu-south-1]",1.0
"o[57,g4dn.4xlarge,eu-south-1]",1.0
"o[58,g4dn.4xlarge,eu-south-1]",1.0
"o[59,g4dn.4xlarge,eu-south-1]",1.0
"o[60,g4dn.4xlarge,eu-south-1]",1.0
"o[61,g4dn.4xlarge,eu-south-1]",1.0
"o[62,g4dn.4xlarge,eu-south-1]",1.0
"o[63,g4dn.4xlarge,eu-south-1]",1.0
"o[64,g4dn.4xlarge,eu-south-1]",1.0
