Variable,Value
"o[1,t4g.2xlarge,us-east-1]",1.0
"o[2,t4g.2xlarge,us-east-1]",1.0
"o[3,t4g.2xlarge,us-east-1]",1.0
"o[4,t4g.2xlarge,us-east-1]",1.0
"o[5,t4g.2xlarge,us-east-1]",1.0
"o[6,t4g.2xlarge,us-east-1]",1.0
"o[7,t4g.2xlarge,us-east-1]",1.0
"o[8,t4g.2xlarge,us-east-1]",1.0
"o[9,t4g.2xlarge,us-east-1]",1.0
"o[10,t4g.2xlarge,us-east-1]",1.0
"o[11,t4g.2xlarge,us-east-1]",1.0
"o[12,t4g.2xlarge,us-east-1]",1.0
"o[13,t4g.2xlarge,us-east-1]",1.0
"o[14,t4g.2xlarge,us-east-1]",1.0
"o[15,t4g.2xlarge,us-east-1]",1.0
"s[2,t4g.small,eu-south-1]",3.0
"s[3,t4g.small,eu-south-1]",3.0
"s[4,t4g.small,eu-south-1]",3.0
"s[5,t4g.small,eu-south-1]",8.0
"s[6,t4g.small,eu-south-1]",8.0
"s[7,t4g.small,eu-south-1]",5.0
"s[8,t4g.small,eu-south-1]",5.0
"s[9,t4g.small,eu-south-1]",5.0
"s[18,g4dn.xlarge,eu-south-1]",1.0
"s[19,g4dn.xlarge,eu-south-1]",1.0
"s[20,g4dn.xlarge,eu-south-1]",1.0
"s[21,g4dn.xlarge,eu-south-1]",1.0
"s[22,g4dn.xlarge,eu-south-1]",1.0
"s[23,g4dn.xlarge,eu-south-1]",1.0
"s[24,g4dn.xlarge,eu-south-1]",1.0
"s[25,g4dn.xlarge,eu-south-1]",1.0
"s[26,g4dn.xlarge,eu-south-1]",1.0
"s[27,g4dn.xlarge,eu-south-1]",1.0
"s[65,t4g.2xlarge,eu-west-2]",4.0
"s[66,t4g.2xlarge,eu-west-2]",4.0
"s[67,t4g.2xlarge,eu-west-2]",4.0
"s[68,t4g.2xlarge,eu-west-2]",4.0
"s[69,t4g.2xlarge,eu-west-2]",4.0
"s[70,t4g.2xlarge,eu-west-2]",4.0
"s[71,t4g.2xlarge,eu-west-2]",4.0
"s[72,t4g.2xlarge,eu-west-2]",4.0
"s[73,t4g.2xlarge,eu-west-2]",4.0
"s[74,t4g.2xlarge,eu-west-2]",4.0
"s[75,t4g.2xlarge,eu-west-2]",5.0
"s[76,t4g.2xlarge,eu-west-2]",5.0
"s[77,t4g.2xlarge,eu-west-2]",5.0
"s[78,t4g.2xlarge,eu-west-2]",5.0
"s[79,t4g.2xlarge,eu-west-2]",5.0
"s[80,t4g.2xlarge,eu-west-2]",2.0
"s[81,t4g.2xlarge,eu-west-2]",2.0
"s[82,t4g.2xlarge,eu-west-2]",2.0
"s[83,t4g.2xlarge,eu-west-2]",2.0
"s[84,t4g.2xlarge,eu-west-2]",2.0
"s[37,g4dn.xlarge,us-east-1]",4.0
"s[38,g4dn.xlarge,us-east-1]",4.0
"s[39,g4dn.xlarge,us-east-1]",4.0
"s[40,g4dn.xlarge,us-east-1]",4.0
"s[41,g4dn.xlarge,us-east-1]",4.0
"s[15,g4dn.2xlarge,us-west-1]",2.0
"s[16,g4dn.2xlarge,us-west-1]",2.0
"s[17,g4dn.2xlarge,us-west-1]",2.0
"s[18,g4dn.2xlarge,us-west-1]",2.0
"s[19,g4dn.2xlarge,us-west-1]",2.0
"s[20,g4dn.2xlarge,us-west-1]",2.0
"s[21,g4dn.2xlarge,us-west-1]",2.0
"s[22,g4dn.2xlarge,us-west-1]",2.0
"s[23,g4dn.2xlarge,us-west-1]",2.0
"s[24,g4dn.2xlarge,us-west-1]",2.0
"s[25,g4dn.2xlarge,us-west-1]",2.0
"s[26,g4dn.2xlarge,us-west-1]",2.0
