Variable,Value
"o[61,t4g.2xlarge,us-east-1]",1.0
"o[62,t4g.2xlarge,us-east-1]",1.0
"o[63,t4g.2xlarge,us-east-1]",1.0
"o[64,t4g.2xlarge,us-east-1]",1.0
"o[65,t4g.2xlarge,us-east-1]",1.0
"o[66,t4g.2xlarge,us-east-1]",1.0
"o[67,t4g.2xlarge,us-east-1]",1.0
"o[68,t4g.2xlarge,us-east-1]",1.0
"o[69,t4g.2xlarge,us-east-1]",1.0
"o[70,t4g.2xlarge,us-east-1]",1.0
"o[71,t4g.2xlarge,us-east-1]",1.0
"o[72,t4g.2xlarge,us-east-1]",1.0
"o[73,t4g.2xlarge,us-east-1]",1.0
"o[74,t4g.2xlarge,us-east-1]",1.0
"o[75,t4g.2xlarge,us-east-1]",1.0
"s[64,t4g.small,eu-south-1]",5.0
"s[65,t4g.small,eu-south-1]",5.0
"s[66,t4g.small,eu-south-1]",5.0
"s[67,t4g.small,eu-south-1]",5.0
"s[68,t4g.small,eu-south-1]",5.0
"s[69,t4g.small,eu-south-1]",3.0
"s[70,t4g.small,eu-south-1]",3.0
"s[71,t4g.small,eu-south-1]",3.0
"s[72,t4g.small,eu-south-1]",3.0
"s[73,t4g.small,eu-south-1]",3.0
"s[45,g4dn.xlarge,eu-south-1]",1.0
"s[46,g4dn.xlarge,eu-south-1]",1.0
"s[47,g4dn.xlarge,eu-south-1]",1.0
"s[48,g4dn.xlarge,eu-south-1]",1.0
"s[49,g4dn.xlarge,eu-south-1]",1.0
"s[50,g4dn.xlarge,eu-south-1]",1.0
"s[51,g4dn.xlarge,eu-south-1]",1.0
"s[52,g4dn.xlarge,eu-south-1]",1.0
"s[53,g4dn.xlarge,eu-south-1]",1.0
"s[54,g4dn.xlarge,eu-south-1]",1.0
"s[1,t4g.2xlarge,eu-west-2]",3.0
"s[2,t4g.2xlarge,eu-west-2]",3.0
"s[3,t4g.2xlarge,eu-west-2]",3.0
"s[4,t4g.2xlarge,eu-west-2]",3.0
"s[5,t4g.2xlarge,eu-west-2]",3.0
"s[6,t4g.2xlarge,eu-west-2]",3.0
"s[7,t4g.2xlarge,eu-west-2]",3.0
"s[8,t4g.2xlarge,eu-west-2]",3.0
"s[9,t4g.2xlarge,eu-west-2]",3.0
"s[10,t4g.2xlarge,eu-west-2]",3.0
"s[11,t4g.2xlarge,eu-west-2]",3.0
"s[12,t4g.2xlarge,eu-west-2]",3.0
"s[13,t4g.2xlarge,eu-west-2]",3.0
"s[14,t4g.2xlarge,eu-west-2]",3.0
"s[15,t4g.2xlarge,eu-west-2]",3.0
"s[16,t4g.2xlarge,eu-west-2]",1.0
"s[61,t4g.2xlarge,eu-west-2]",2.0
"s[62,t4g.2xlarge,eu-west-2]",2.0
"s[63,t4g.2xlarge,eu-west-2]",2.0
"s[64,t4g.2xlarge,eu-west-2]",2.0
"s[65,t4g.2xlarge,eu-west-2]",2.0
"s[66,t4g.2xlarge,eu-west-2]",2.0
"s[67,t4g.2xlarge,eu-west-2]",2.0
"s[68,t4g.2xlarge,eu-west-2]",2.0
"s[69,t4g.2xlarge,eu-west-2]",2.0
"s[70,t4g.2xlarge,eu-west-2]",2.0
"s[71,t4g.2xlarge,eu-west-2]",2.0
"s[72,t4g.2xlarge,eu-west-2]",2.0
"s[73,t4g.2xlarge,eu-west-2]",2.0
"s[74,t4g.2xlarge,eu-west-2]",2.0
"s[75,t4g.2xlarge,eu-west-2]",2.0
"s[76,t4g.2xlarge,eu-west-2]",2.0
"s[77,t4g.2xlarge,eu-west-2]",2.0
"s[78,t4g.2xlarge,eu-west-2]",2.0
"s[79,t4g.2xlarge,eu-west-2]",2.0
"s[80,t4g.2xlarge,eu-west-2]",2.0
"s[54,g4dn.xlarge,us-east-1]",4.0
"s[55,g4dn.xlarge,us-east-1]",4.0
"s[56,g4dn.xlarge,us-east-1]",4.0
"s[57,g4dn.xlarge,us-east-1]",4.0
