Variable,Value
"s[11,t4g.small,eu-south-1]",5.0
"s[12,t4g.small,eu-south-1]",5.0
"s[13,t4g.small,eu-south-1]",5.0
"s[14,t4g.small,eu-south-1]",5.0
"s[15,t4g.small,eu-south-1]",5.0
"s[22,t4g.small,ap-northeast-3]",6.0
"s[23,t4g.small,ap-northeast-3]",6.0
"s[24,t4g.small,ap-northeast-3]",6.0
"s[25,t4g.small,ap-northeast-3]",6.0
"s[26,t4g.small,ap-northeast-3]",6.0
"s[27,t4g.small,ap-northeast-3]",6.0
"s[28,t4g.small,ap-northeast-3]",6.0
"s[29,t4g.small,ap-northeast-3]",6.0
"s[30,t4g.small,ap-northeast-3]",6.0
"s[31,t4g.small,ap-northeast-3]",6.0
"s[41,g4dn.2xlarge,ap-south-1]",1.0
"s[42,g4dn.2xlarge,ap-south-1]",1.0
"s[43,g4dn.2xlarge,ap-south-1]",1.0
"s[44,g4dn.2xlarge,ap-south-1]",1.0
"s[45,g4dn.2xlarge,ap-south-1]",1.0
"s[46,g4dn.2xlarge,ap-south-1]",1.0
"s[47,g4dn.2xlarge,ap-south-1]",1.0
"s[48,g4dn.2xlarge,ap-south-1]",1.0
"s[49,g4dn.2xlarge,ap-south-1]",1.0
"s[50,g4dn.2xlarge,ap-south-1]",1.0
"s[51,g4dn.2xlarge,ap-south-1]",1.0
"s[52,g4dn.2xlarge,ap-south-1]",1.0
"s[53,g4dn.2xlarge,ap-south-1]",1.0
"s[54,g4dn.2xlarge,ap-south-1]",1.0
"s[55,g4dn.2xlarge,ap-south-1]",1.0
"s[56,g4dn.2xlarge,ap-south-1]",1.0
"s[57,g4dn.2xlarge,ap-south-1]",1.0
"s[58,g4dn.2xlarge,ap-south-1]",1.0
"s[59,g4dn.2xlarge,ap-south-1]",1.0
"s[60,g4dn.2xlarge,ap-south-1]",1.0
"a[11,1]",1.0
"a[22,2]",1.0
"a[41,3]",1.0
"z[11,1,t4g.small,eu-south-1,1]",1.0
"z[11,1,t4g.small,eu-south-1,2]",1.0
"z[11,1,t4g.small,eu-south-1,3]",1.0
"z[11,1,t4g.small,eu-south-1,4]",1.0
"z[11,1,t4g.small,eu-south-1,5]",1.0
"z[22,2,t4g.small,ap-northeast-3,1]",1.0
"z[22,2,t4g.small,ap-northeast-3,2]",1.0
"z[22,2,t4g.small,ap-northeast-3,3]",1.0
"z[41,3,g4dn.2xlarge,ap-south-1,1]",1.0
"z[41,3,g4dn.2xlarge,ap-south-1,2]",1.0
"d[1,eu-south-1]",1.0
"d[2,ap-northeast-3]",1.0
"d[3,ap-south-1]",1.0
L[1],2.57
L[2],2.32
L[3],3.23
