Variable,Value
"s[3,t4g.small,eu-south-1]",5.0
"s[4,t4g.small,eu-south-1]",5.0
"s[5,t4g.small,eu-south-1]",5.0
"s[6,t4g.small,eu-south-1]",5.0
"s[7,t4g.small,eu-south-1]",5.0
"s[90,t4g.small,ap-northeast-3]",6.0
"s[91,t4g.small,ap-northeast-3]",6.0
"s[92,t4g.small,ap-northeast-3]",6.0
"s[93,t4g.small,ap-northeast-3]",6.0
"s[94,t4g.small,ap-northeast-3]",6.0
"s[95,t4g.small,ap-northeast-3]",6.0
"s[96,t4g.small,ap-northeast-3]",6.0
"s[97,t4g.small,ap-northeast-3]",6.0
"s[98,t4g.small,ap-northeast-3]",6.0
"s[99,t4g.small,ap-northeast-3]",6.0
"s[32,g4dn.2xlarge,ap-south-1]",1.0
"s[33,g4dn.2xlarge,ap-south-1]",1.0
"s[34,g4dn.2xlarge,ap-south-1]",1.0
"s[35,g4dn.2xlarge,ap-south-1]",1.0
"s[36,g4dn.2xlarge,ap-south-1]",1.0
"s[37,g4dn.2xlarge,ap-south-1]",1.0
"s[38,g4dn.2xlarge,ap-south-1]",1.0
"s[39,g4dn.2xlarge,ap-south-1]",1.0
"s[40,g4dn.2xlarge,ap-south-1]",1.0
"s[41,g4dn.2xlarge,ap-south-1]",1.0
"s[42,g4dn.2xlarge,ap-south-1]",1.0
"s[43,g4dn.2xlarge,ap-south-1]",1.0
"s[44,g4dn.2xlarge,ap-south-1]",1.0
"s[45,g4dn.2xlarge,ap-south-1]",1.0
"s[46,g4dn.2xlarge,ap-south-1]",1.0
"s[47,g4dn.2xlarge,ap-south-1]",1.0
"s[48,g4dn.2xlarge,ap-south-1]",1.0
"s[49,g4dn.2xlarge,ap-south-1]",1.0
"s[50,g4dn.2xlarge,ap-south-1]",1.0
"s[51,g4dn.2xlarge,ap-south-1]",1.0
"a[3,1]",1.0
"a[90,2]",1.0
"a[32,3]",1.0
"z[3,1,t4g.small,eu-south-1,1]",1.0
"z[3,1,t4g.small,eu-south-1,2]",1.0
"z[3,1,t4g.small,eu-south-1,3]",1.0
"z[3,1,t4g.small,eu-south-1,4]",1.0
"z[3,1,t4g.small,eu-south-1,5]",1.0
"z[32,3,g4dn.2xlarge,ap-south-1,1]",1.0
"z[32,3,g4dn.2xlarge,ap-south-1,2]",1.0
"z[90,2,t4g.small,ap-northeast-3,1]",1.0
"z[90,2,t4g.small,ap-northeast-3,2]",1.0
"z[90,2,t4g.small,ap-northeast-3,3]",1.0
"d[1,eu-south-1]",1.0
"d[2,ap-northeast-3]",1.0
"d[3,ap-south-1]",1.0
L[1],2.57
L[2],2.32
L[3],3.23
