Variable,Value
"r[g4dn.xlarge,eu-south-1]",2.0
"r[g4dn.xlarge,ap-northeast-3]",3.0
"r[g4dn.xlarge,ap-south-1]",2.0
"a[1,1]",1.0
"a[1,2]",1.0
"a[1,3]",1.0
"x[1,1,g4dn.xlarge,eu-south-1,1]",1.0
"x[1,1,g4dn.xlarge,eu-south-1,2]",1.0
"x[1,1,g4dn.xlarge,eu-south-1,3]",1.0
"x[1,1,g4dn.xlarge,eu-south-1,4]",1.0
"x[1,1,g4dn.xlarge,eu-south-1,5]",1.0
"x[1,2,g4dn.xlarge,ap-northeast-3,1]",1.0
"x[1,2,g4dn.xlarge,ap-northeast-3,2]",1.0
"x[1,2,g4dn.xlarge,ap-northeast-3,3]",1.0
"x[1,3,g4dn.xlarge,ap-south-1,1]",1.0
"x[1,3,g4dn.xlarge,ap-south-1,2]",1.0
"d[1,eu-south-1]",1.0
"d[2,ap-northeast-3]",1.0
"d[3,ap-south-1]",1.0
L[1],2.57
L[2],2.319999999999995
L[3],3.2299999999999915
