Variable,Value
"o[1,t4g.2xlarge,us-east-1]",3.0
"o[2,t4g.2xlarge,us-east-1]",3.0
"o[3,t4g.2xlarge,us-east-1]",3.0
"o[4,t4g.2xlarge,us-east-1]",3.0
"o[5,t4g.2xlarge,us-east-1]",3.0
"o[6,t4g.2xlarge,us-east-1]",3.0
"o[7,t4g.2xlarge,us-east-1]",3.0
"o[8,t4g.2xlarge,us-east-1]",3.0
"o[9,t4g.2xlarge,us-east-1]",4.0
"o[10,t4g.2xlarge,us-east-1]",4.0
"o[11,t4g.2xlarge,us-east-1]",4.0
"o[12,t4g.2xlarge,us-east-1]",4.0
"o[13,t4g.2xlarge,us-east-1]",4.0
"o[14,t4g.2xlarge,us-east-1]",4.0
"o[15,t4g.2xlarge,us-east-1]",4.0
"o[16,t4g.2xlarge,us-east-1]",4.0
"o[17,t4g.2xlarge,us-east-1]",4.0
"o[18,t4g.2xlarge,us-east-1]",4.0
"o[19,t4g.2xlarge,us-east-1]",4.0
"o[20,t4g.2xlarge,us-east-1]",4.0
"o[21,t4g.2xlarge,us-east-1]",4.0
"o[22,t4g.2xlarge,us-east-1]",4.0
"o[23,t4g.2xlarge,us-east-1]",4.0
"o[24,t4g.2xlarge,us-east-1]",4.0
"o[25,t4g.2xlarge,us-east-1]",4.0
"o[26,t4g.2xlarge,us-east-1]",4.0
"o[27,t4g.2xlarge,us-east-1]",4.0
"o[28,t4g.2xlarge,us-east-1]",4.0
"o[29,t4g.2xlarge,us-east-1]",4.0
"o[30,t4g.2xlarge,us-east-1]",4.0
"o[31,t4g.2xlarge,us-east-1]",4.0
"o[32,t4g.2xlarge,us-east-1]",4.0
"o[33,t4g.2xlarge,us-east-1]",4.0
"o[34,t4g.2xlarge,us-east-1]",6.0
"o[35,t4g.2xlarge,us-east-1]",6.0
"o[36,t4g.2xlarge,us-east-1]",6.0
"o[37,t4g.2xlarge,us-east-1]",3.0
"o[38,t4g.2xlarge,us-east-1]",3.0
"o[39,t4g.2xlarge,us-east-1]",3.0
"o[40,t4g.2xlarge,us-east-1]",3.0
"o[41,t4g.2xlarge,us-east-1]",3.0
"o[42,t4g.2xlarge,us-east-1]",3.0
"o[43,t4g.2xlarge,us-east-1]",3.0
"o[44,t4g.2xlarge,us-east-1]",3.0
"o[45,t4g.2xlarge,us-east-1]",3.0
"o[46,t4g.2xlarge,us-east-1]",3.0
"o[47,t4g.2xlarge,us-east-1]",3.0
"o[48,t4g.2xlarge,us-east-1]",3.0
"o[49,t4g.2xlarge,us-east-1]",3.0
"o[50,t4g.2xlarge,us-east-1]",3.0
"o[51,t4g.2xlarge,us-east-1]",3.0
"o[52,t4g.2xlarge,us-east-1]",3.0
"o[53,t4g.2xlarge,us-east-1]",3.0
"o[54,t4g.2xlarge,us-east-1]",3.0
"o[55,t4g.2xlarge,us-east-1]",3.0
"o[56,t4g.2xlarge,us-east-1]",3.0
"o[57,t4g.2xlarge,us-east-1]",3.0
"s[1,t4g.small,eu-south-1]",10.0
"s[2,t4g.small,eu-south-1]",10.0
"s[3,t4g.small,eu-south-1]",10.0
"s[4,t4g.small,eu-south-1]",10.0
"s[5,t4g.small,eu-south-1]",10.0
"s[6,t4g.small,eu-south-1]",10.0
"s[7,t4g.small,eu-south-1]",10.0
"s[8,t4g.small,eu-south-1]",10.0
"s[9,t4g.small,eu-south-1]",10.0
"s[10,t4g.small,eu-south-1]",10.0
"s[11,t4g.small,eu-south-1]",10.0
"s[12,t4g.small,eu-south-1]",10.0
"s[13,t4g.small,eu-south-1]",10.0
"s[14,t4g.small,eu-south-1]",10.0
"s[15,t4g.small,eu-south-1]",10.0
"s[16,t4g.small,eu-south-1]",6.0
"s[17,t4g.small,eu-south-1]",6.0
"s[18,t4g.small,eu-south-1]",6.0
"s[19,t4g.small,eu-south-1]",6.0
"s[20,t4g.small,eu-south-1]",6.0
"s[21,t4g.small,eu-south-1]",6.0
"s[22,t4g.small,eu-south-1]",6.0
"s[23,t4g.small,eu-south-1]",6.0
"s[24,t4g.small,eu-south-1]",6.0
"s[25,t4g.small,eu-south-1]",6.0
"s[26,t4g.small,eu-south-1]",6.0
"s[27,t4g.small,eu-south-1]",6.0
"s[28,t4g.small,eu-south-1]",6.0
"s[29,t4g.small,eu-south-1]",6.0
"s[30,t4g.small,eu-south-1]",6.0
"s[31,t4g.small,eu-south-1]",6.0
"s[32,t4g.small,eu-south-1]",6.0
"s[23,g4dn.2xlarge,eu-south-1]",1.0
"s[24,g4dn.2xlarge,eu-south-1]",1.0
"s[25,g4dn.2xlarge,eu-south-1]",1.0
"s[26,g4dn.2xlarge,eu-south-1]",1.0
"s[27,g4dn.2xlarge,eu-south-1]",1.0
"s[28,g4dn.2xlarge,eu-south-1]",1.0
"s[29,g4dn.2xlarge,eu-south-1]",1.0
"s[30,g4dn.2xlarge,eu-south-1]",1.0
"s[31,g4dn.2xlarge,eu-south-1]",1.0
"s[32,g4dn.2xlarge,eu-south-1]",1.0
"s[33,g4dn.2xlarge,eu-south-1]",1.0
"s[34,g4dn.2xlarge,eu-south-1]",1.0
"s[35,g4dn.2xlarge,eu-south-1]",1.0
"s[36,g4dn.2xlarge,eu-south-1]",3.0
"s[37,g4dn.2xlarge,eu-south-1]",4.0
"s[38,g4dn.2xlarge,eu-south-1]",5.0
"s[39,g4dn.2xlarge,eu-south-1]",5.0
"s[40,g4dn.2xlarge,eu-south-1]",5.0
"s[41,g4dn.2xlarge,eu-south-1]",5.0
"s[42,g4dn.2xlarge,eu-south-1]",5.0
"s[43,g4dn.2xlarge,eu-south-1]",5.0
"s[44,g4dn.2xlarge,eu-south-1]",5.0
"s[45,g4dn.2xlarge,eu-south-1]",5.0
"s[46,g4dn.2xlarge,eu-south-1]",7.0
"s[47,g4dn.2xlarge,eu-south-1]",7.0
"s[48,g4dn.2xlarge,eu-south-1]",7.0
"s[49,g4dn.2xlarge,eu-south-1]",7.0
"s[50,g4dn.2xlarge,eu-south-1]",7.0
"s[51,g4dn.2xlarge,eu-south-1]",7.0
"s[52,g4dn.2xlarge,eu-south-1]",7.0
"s[53,g4dn.2xlarge,eu-south-1]",7.0
"s[54,g4dn.2xlarge,eu-south-1]",7.0
"s[55,g4dn.2xlarge,eu-south-1]",8.0
"s[56,g4dn.2xlarge,eu-south-1]",8.0
"s[57,g4dn.2xlarge,eu-south-1]",8.0
"s[58,g4dn.2xlarge,eu-south-1]",8.0
"s[59,g4dn.2xlarge,eu-south-1]",8.0
"s[60,g4dn.2xlarge,eu-south-1]",8.0
"s[61,g4dn.2xlarge,eu-south-1]",8.0
"s[62,g4dn.2xlarge,eu-south-1]",8.0
"s[63,g4dn.2xlarge,eu-south-1]",8.0
"s[64,g4dn.2xlarge,eu-south-1]",8.0
"s[65,g4dn.2xlarge,eu-south-1]",8.0
"s[66,g4dn.2xlarge,eu-south-1]",8.0
"s[67,g4dn.2xlarge,eu-south-1]",8.0
"s[68,g4dn.2xlarge,eu-south-1]",8.0
"s[69,g4dn.2xlarge,eu-south-1]",8.0
"s[70,g4dn.2xlarge,eu-south-1]",8.0
"s[71,g4dn.2xlarge,eu-south-1]",8.0
"s[72,g4dn.2xlarge,eu-south-1]",8.0
"s[73,g4dn.2xlarge,eu-south-1]",6.0
"s[74,g4dn.2xlarge,eu-south-1]",6.0
"s[75,g4dn.2xlarge,eu-south-1]",6.0
"s[76,g4dn.2xlarge,eu-south-1]",6.0
"s[77,g4dn.2xlarge,eu-south-1]",6.0
"s[78,g4dn.2xlarge,eu-south-1]",3.0
"s[79,g4dn.2xlarge,eu-south-1]",3.0
"s[80,g4dn.2xlarge,eu-south-1]",3.0
"s[81,g4dn.2xlarge,eu-south-1]",3.0
"s[82,g4dn.2xlarge,eu-south-1]",3.0
"s[83,g4dn.2xlarge,eu-south-1]",2.0
"s[84,g4dn.2xlarge,eu-south-1]",2.0
"s[85,g4dn.2xlarge,eu-south-1]",2.0
"s[86,g4dn.2xlarge,eu-south-1]",2.0
"s[87,g4dn.2xlarge,eu-south-1]",2.0
"s[88,g4dn.2xlarge,eu-south-1]",1.0
"s[89,g4dn.2xlarge,eu-south-1]",1.0
"s[90,g4dn.2xlarge,eu-south-1]",1.0
"s[91,g4dn.2xlarge,eu-south-1]",1.0
"s[37,g4dn.xlarge,eu-south-1]",2.0
"s[38,g4dn.xlarge,eu-south-1]",3.0
"s[39,g4dn.xlarge,eu-south-1]",3.0
"s[40,g4dn.xlarge,eu-south-1]",3.0
"s[41,g4dn.xlarge,eu-south-1]",3.0
"s[42,g4dn.xlarge,eu-south-1]",3.0
"s[43,g4dn.xlarge,eu-south-1]",3.0
"s[44,g4dn.xlarge,eu-south-1]",3.0
"s[45,g4dn.xlarge,eu-south-1]",4.0
"s[46,g4dn.xlarge,eu-south-1]",4.0
"s[47,g4dn.xlarge,eu-south-1]",4.0
"s[48,g4dn.xlarge,eu-south-1]",4.0
"s[49,g4dn.xlarge,eu-south-1]",7.0
"s[50,g4dn.xlarge,eu-south-1]",7.0
"s[51,g4dn.xlarge,eu-south-1]",7.0
"s[52,g4dn.xlarge,eu-south-1]",7.0
"s[53,g4dn.xlarge,eu-south-1]",7.0
"s[54,g4dn.xlarge,eu-south-1]",6.0
"s[55,g4dn.xlarge,eu-south-1]",8.0
"s[56,g4dn.xlarge,eu-south-1]",8.0
"s[57,g4dn.xlarge,eu-south-1]",8.0
"s[58,g4dn.xlarge,eu-south-1]",8.0
"s[59,g4dn.xlarge,eu-south-1]",8.0
"s[60,g4dn.xlarge,eu-south-1]",8.0
"s[61,g4dn.xlarge,eu-south-1]",8.0
"s[62,g4dn.xlarge,eu-south-1]",8.0
"s[63,g4dn.xlarge,eu-south-1]",8.0
"s[64,g4dn.xlarge,eu-south-1]",8.0
"s[65,g4dn.xlarge,eu-south-1]",8.0
"s[66,g4dn.xlarge,eu-south-1]",8.0
"s[67,g4dn.xlarge,eu-south-1]",8.0
"s[68,g4dn.xlarge,eu-south-1]",8.0
"s[69,g4dn.xlarge,eu-south-1]",8.0
"s[70,g4dn.xlarge,eu-south-1]",8.0
"s[71,g4dn.xlarge,eu-south-1]",8.0
"s[72,g4dn.xlarge,eu-south-1]",8.0
"s[73,g4dn.xlarge,eu-south-1]",4.0
"s[74,g4dn.xlarge,eu-south-1]",4.0
"s[75,g4dn.xlarge,eu-south-1]",4.0
"s[76,g4dn.xlarge,eu-south-1]",4.0
"s[77,g4dn.xlarge,eu-south-1]",4.0
"s[78,g4dn.xlarge,eu-south-1]",4.0
"s[79,g4dn.xlarge,eu-south-1]",4.0
"s[80,g4dn.xlarge,eu-south-1]",4.0
"s[81,g4dn.xlarge,eu-south-1]",4.0
"s[82,g4dn.xlarge,eu-south-1]",4.0
"s[83,g4dn.xlarge,eu-south-1]",4.0
"s[84,g4dn.xlarge,eu-south-1]",4.0
"s[85,g4dn.xlarge,eu-south-1]",4.0
"s[86,g4dn.xlarge,eu-south-1]",4.0
"s[87,g4dn.xlarge,eu-south-1]",4.0
"s[88,g4dn.xlarge,eu-south-1]",2.0
"s[89,g4dn.xlarge,eu-south-1]",2.0
"s[90,g4dn.xlarge,eu-south-1]",2.0
"s[91,g4dn.xlarge,eu-south-1]",2.0
"s[92,g4dn.xlarge,eu-south-1]",2.0
"s[93,g4dn.xlarge,eu-south-1]",2.0
"s[94,g4dn.xlarge,eu-south-1]",2.0
"s[1,t4g.2xlarge,eu-west-2]",1.0
"s[2,t4g.2xlarge,eu-west-2]",1.0
"s[3,t4g.2xlarge,eu-west-2]",1.0
"s[4,t4g.2xlarge,eu-west-2]",1.0
"s[5,t4g.2xlarge,eu-west-2]",1.0
"s[6,t4g.2xlarge,eu-west-2]",1.0
"s[7,t4g.2xlarge,eu-west-2]",1.0
"s[8,t4g.2xlarge,eu-west-2]",1.0
"s[9,t4g.2xlarge,eu-west-2]",1.0
"s[10,t4g.2xlarge,eu-west-2]",1.0
"s[11,t4g.2xlarge,eu-west-2]",1.0
"s[12,t4g.2xlarge,eu-west-2]",1.0
"s[13,t4g.2xlarge,eu-west-2]",1.0
"s[14,t4g.2xlarge,eu-west-2]",1.0
"s[15,t4g.2xlarge,eu-west-2]",1.0
"s[16,t4g.2xlarge,eu-west-2]",1.0
"s[17,t4g.2xlarge,eu-west-2]",1.0
"s[18,t4g.2xlarge,eu-west-2]",1.0
"s[19,t4g.2xlarge,eu-west-2]",1.0
"s[20,t4g.2xlarge,eu-west-2]",1.0
"s[21,t4g.2xlarge,eu-west-2]",1.0
"s[22,t4g.2xlarge,eu-west-2]",1.0
"s[34,t4g.2xlarge,eu-west-2]",1.0
"s[35,t4g.2xlarge,eu-west-2]",1.0
"s[36,t4g.2xlarge,eu-west-2]",1.0
"s[37,t4g.2xlarge,eu-west-2]",1.0
"s[38,t4g.2xlarge,eu-west-2]",1.0
"s[39,t4g.2xlarge,eu-west-2]",1.0
"s[40,t4g.2xlarge,eu-west-2]",1.0
"s[41,t4g.2xlarge,eu-west-2]",1.0
"s[42,t4g.2xlarge,eu-west-2]",1.0
"s[43,t4g.2xlarge,eu-west-2]",1.0
"s[44,t4g.2xlarge,eu-west-2]",1.0
"s[45,t4g.2xlarge,eu-west-2]",1.0
"s[46,t4g.2xlarge,eu-west-2]",1.0
"s[47,t4g.2xlarge,eu-west-2]",1.0
"s[48,t4g.2xlarge,eu-west-2]",1.0
"s[49,t4g.2xlarge,eu-west-2]",1.0
"s[50,t4g.2xlarge,eu-west-2]",1.0
"s[51,t4g.2xlarge,eu-west-2]",1.0
"s[52,t4g.2xlarge,eu-west-2]",1.0
"s[53,t4g.2xlarge,eu-west-2]",1.0
"s[54,t4g.2xlarge,eu-west-2]",1.0
"s[55,t4g.2xlarge,eu-west-2]",1.0
"s[56,t4g.2xlarge,eu-west-2]",1.0
"s[3,g4dn.2xlarge,eu-west-2]",1.0
"s[4,g4dn.2xlarge,eu-west-2]",1.0
"s[5,g4dn.2xlarge,eu-west-2]",1.0
"s[6,g4dn.2xlarge,eu-west-2]",1.0
"s[7,g4dn.2xlarge,eu-west-2]",1.0
"s[8,g4dn.2xlarge,eu-west-2]",1.0
"s[9,g4dn.2xlarge,eu-west-2]",1.0
"s[10,g4dn.2xlarge,eu-west-2]",1.0
"s[11,g4dn.2xlarge,eu-west-2]",5.0
"s[12,g4dn.2xlarge,eu-west-2]",5.0
"s[13,g4dn.2xlarge,eu-west-2]",5.0
"s[14,g4dn.2xlarge,eu-west-2]",5.0
"s[15,g4dn.2xlarge,eu-west-2]",5.0
"s[16,g4dn.2xlarge,eu-west-2]",5.0
"s[17,g4dn.2xlarge,eu-west-2]",6.0
"s[18,g4dn.2xlarge,eu-west-2]",6.0
"s[19,g4dn.2xlarge,eu-west-2]",6.0
"s[20,g4dn.2xlarge,eu-west-2]",6.0
"s[21,g4dn.2xlarge,eu-west-2]",6.0
"s[22,g4dn.2xlarge,eu-west-2]",6.0
"s[23,g4dn.2xlarge,eu-west-2]",6.0
"s[24,g4dn.2xlarge,eu-west-2]",6.0
"s[25,g4dn.2xlarge,eu-west-2]",6.0
"s[26,g4dn.2xlarge,eu-west-2]",6.0
"s[27,g4dn.2xlarge,eu-west-2]",6.0
"s[28,g4dn.2xlarge,eu-west-2]",6.0
"s[29,g4dn.2xlarge,eu-west-2]",6.0
"s[30,g4dn.2xlarge,eu-west-2]",8.0
"s[31,g4dn.2xlarge,eu-west-2]",7.0
"s[32,g4dn.2xlarge,eu-west-2]",7.0
"s[33,g4dn.2xlarge,eu-west-2]",8.0
"s[34,g4dn.2xlarge,eu-west-2]",8.0
"s[35,g4dn.2xlarge,eu-west-2]",12.0
"s[36,g4dn.2xlarge,eu-west-2]",12.0
"s[37,g4dn.2xlarge,eu-west-2]",12.0
"s[38,g4dn.2xlarge,eu-west-2]",13.0
"s[39,g4dn.2xlarge,eu-west-2]",13.0
"s[40,g4dn.2xlarge,eu-west-2]",14.0
"s[41,g4dn.2xlarge,eu-west-2]",14.0
"s[42,g4dn.2xlarge,eu-west-2]",12.0
"s[43,g4dn.2xlarge,eu-west-2]",13.0
"s[44,g4dn.2xlarge,eu-west-2]",11.0
