Variable,Value
"o[31,t4g.2xlarge,us-east-1]",2.000000499583334
"o[32,t4g.2xlarge,us-east-1]",2.000000498869048
"o[33,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[34,t4g.2xlarge,us-east-1]",2.000000498869048
"o[35,t4g.2xlarge,us-east-1]",2.0000004991666667
"o[36,t4g.2xlarge,us-east-1]",2.000000498452381
"o[37,t4g.2xlarge,us-east-1]",2.000000499940585
"o[38,t4g.2xlarge,us-east-1]",2.0000004995835376
"o[39,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[40,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[41,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[42,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[43,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[44,t4g.2xlarge,us-east-1]",2.0000004991666667
"o[45,t4g.2xlarge,us-east-1]",2.0000004987121214
"o[46,t4g.2xlarge,us-east-1]",2.000000499940592
"o[47,t4g.2xlarge,us-east-1]",2.0000004994444445
"o[48,t4g.2xlarge,us-east-1]",2.0000004996428573
"o[49,t4g.2xlarge,us-east-1]",2.0000004992857146
"o[50,t4g.2xlarge,us-east-1]",2.0000004996153846
"o[51,t4g.2xlarge,us-east-1]",2.0000004992857146
"o[52,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[53,t4g.2xlarge,us-east-1]",2.0000004991666667
"o[54,t4g.2xlarge,us-east-1]",2.00000049875
"o[55,t4g.2xlarge,us-east-1]",2.0000004999704144
"o[56,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[57,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[58,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[59,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[60,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[61,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[62,t4g.2xlarge,us-east-1]",2.0000004991666667
"o[63,t4g.2xlarge,us-east-1]",2.00000049875
"o[64,t4g.2xlarge,us-east-1]",2.0000004995833334
"o[65,t4g.2xlarge,us-east-1]",2.000000498869048
"o[66,t4g.2xlarge,us-east-1]",2.000000499583334
"s[70,g4dn.4xlarge,eu-south-1]",1.0
"s[71,g4dn.4xlarge,eu-south-1]",1.0
"s[72,g4dn.4xlarge,eu-south-1]",1.0
"s[73,g4dn.4xlarge,eu-south-1]",1.0
"s[74,g4dn.4xlarge,eu-south-1]",1.0
"s[75,g4dn.4xlarge,eu-south-1]",1.0
"s[76,g4dn.4xlarge,eu-south-1]",1.0
"s[77,g4dn.4xlarge,eu-south-1]",1.0
"s[78,g4dn.4xlarge,eu-south-1]",1.0
"s[79,g4dn.4xlarge,eu-south-1]",1.0
"s[80,g4dn.4xlarge,eu-south-1]",1.0
"s[81,g4dn.4xlarge,eu-south-1]",1.0
"s[82,g4dn.4xlarge,eu-south-1]",1.0
"s[43,g4dn.2xlarge,eu-south-1]",1.0
"s[44,g4dn.2xlarge,eu-south-1]",1.0
"s[45,g4dn.2xlarge,eu-south-1]",5.0
"s[46,g4dn.2xlarge,eu-south-1]",9.0
"s[47,g4dn.2xlarge,eu-south-1]",9.0
"s[48,g4dn.2xlarge,eu-south-1]",9.0
"s[49,g4dn.2xlarge,eu-south-1]",9.0
"s[50,g4dn.2xlarge,eu-south-1]",9.0
"s[51,g4dn.2xlarge,eu-south-1]",9.0
"s[52,g4dn.2xlarge,eu-south-1]",9.0
"s[53,g4dn.2xlarge,eu-south-1]",9.0
"s[54,g4dn.2xlarge,eu-south-1]",9.0
"s[55,g4dn.2xlarge,eu-south-1]",9.0
"s[56,g4dn.2xlarge,eu-south-1]",9.0
"s[57,g4dn.2xlarge,eu-south-1]",9.0
"s[58,g4dn.2xlarge,eu-south-1]",9.0
"s[59,g4dn.2xlarge,eu-south-1]",9.0
"s[60,g4dn.2xlarge,eu-south-1]",9.0
"s[61,g4dn.2xlarge,eu-south-1]",9.0
"s[62,g4dn.2xlarge,eu-south-1]",9.0
"s[63,g4dn.2xlarge,eu-south-1]",9.0
"s[64,g4dn.2xlarge,eu-south-1]",9.0
"s[65,g4dn.2xlarge,eu-south-1]",9.0
"s[66,g4dn.2xlarge,eu-south-1]",9.0
"s[67,g4dn.2xlarge,eu-south-1]",9.0
"s[68,g4dn.2xlarge,eu-south-1]",9.0
"s[69,g4dn.2xlarge,eu-south-1]",9.0
"s[70,g4dn.2xlarge,eu-south-1]",7.0
"s[71,g4dn.2xlarge,eu-south-1]",7.0
"s[72,g4dn.2xlarge,eu-south-1]",7.0
