Variable,Value
"s[1,t4g.small,eu-south-1]",3.0
"s[2,t4g.small,eu-south-1]",3.0
"s[3,t4g.small,eu-south-1]",3.0
"s[4,t4g.small,eu-south-1]",3.0
"s[5,t4g.small,eu-south-1]",3.0
"s[47,g4dn.2xlarge,ap-northeast-3]",1.0
"s[48,g4dn.2xlarge,ap-northeast-3]",1.0
"a[1,1]",1.0
"a[47,2]",1.0
"z[1,1,t4g.small,eu-south-1,1]",1.0
"z[1,1,t4g.small,eu-south-1,2]",1.0
"z[1,1,t4g.small,eu-south-1,3]",1.0
"z[47,2,g4dn.2xlarge,ap-northeast-3,1]",1.0
"z[47,2,g4dn.2xlarge,ap-northeast-3,2]",1.0
"d[1,eu-south-1]",1.0
"d[2,ap-northeast-3]",1.0
L[1],2.57
L[2],2.32
