Variable,Value
"s[60,t4g.small,eu-south-1]",3.0
"s[61,t4g.small,eu-south-1]",3.0
"s[62,t4g.small,eu-south-1]",3.0
"s[63,t4g.small,eu-south-1]",3.0
"s[64,t4g.small,eu-south-1]",3.0
"s[42,g4dn.2xlarge,ap-south-1]",1.0
"s[43,g4dn.2xlarge,ap-south-1]",1.0
"a[60,1]",1.0
"a[42,2]",1.0
"z[42,2,g4dn.2xlarge,ap-south-1,1]",1.0
"z[42,2,g4dn.2xlarge,ap-south-1,2]",1.0
"z[60,1,t4g.small,eu-south-1,1]",1.0
"z[60,1,t4g.small,eu-south-1,2]",1.0
"z[60,1,t4g.small,eu-south-1,3]",1.0
"d[1,eu-south-1]",194.0
"d[1,eu-west-2]",18.0
"d[1,us-east-1]",4.0
"d[2,us-east-1]",1.0
"d[1,us-west-1]",3.0
"d[2,us-west-1]",1.0
"d[1,ap-northeast-3]",2.0
"d[2,ap-northeast-3]",86.0
"d[1,ap-south-1]",4.0
"d[2,ap-south-1]",1.0
L[1],500.0
L[2],200.0
