Variable,Value
"s[68,t4g.small,eu-south-1]",3.0
"s[69,t4g.small,eu-south-1]",3.0
"s[70,t4g.small,eu-south-1]",3.0
"s[71,t4g.small,eu-south-1]",3.0
"s[72,t4g.small,eu-south-1]",3.0
"s[50,g4dn.2xlarge,ap-south-1]",1.0
"s[51,g4dn.2xlarge,ap-south-1]",1.0
"a[68,1]",1.0
"a[50,2]",1.0
"z[50,2,g4dn.2xlarge,ap-south-1,1]",1.0
"z[50,2,g4dn.2xlarge,ap-south-1,2]",1.0
"z[68,1,t4g.small,eu-south-1,1]",1.0
"z[68,1,t4g.small,eu-south-1,2]",1.0
"z[68,1,t4g.small,eu-south-1,3]",1.0
"d[1,eu-south-1]",194.0
"d[1,eu-west-2]",18.0
"d[1,us-east-1]",4.0
"d[2,us-east-1]",1.0
"d[1,us-west-1]",3.0
"d[2,us-west-1]",1.0
"d[1,ap-northeast-3]",2.0
"d[2,ap-northeast-3]",86.0
"d[1,ap-south-1]",4.0
"d[2,ap-south-1]",1.0
L[1],500.0
L[2],200.0
