Variable,Value
"s[1,g4dn.xlarge,ap-northeast-3]",9.0
"s[2,g4dn.xlarge,ap-northeast-3]",9.0
"s[3,g4dn.xlarge,ap-northeast-3]",9.0
"s[4,g4dn.xlarge,ap-northeast-3]",9.0
"s[5,g4dn.xlarge,ap-northeast-3]",9.0
"s[6,g4dn.xlarge,ap-northeast-3]",9.0
"s[7,g4dn.xlarge,ap-northeast-3]",9.0
"s[8,g4dn.xlarge,ap-northeast-3]",9.0
"s[9,g4dn.xlarge,ap-northeast-3]",9.0
"s[10,g4dn.xlarge,ap-northeast-3]",9.0
"s[11,g4dn.xlarge,ap-northeast-3]",9.0
"s[12,g4dn.xlarge,ap-northeast-3]",9.0
"s[13,g4dn.xlarge,ap-northeast-3]",9.0
"s[14,g4dn.xlarge,ap-northeast-3]",9.0
"s[15,g4dn.xlarge,ap-northeast-3]",5.0
"s[16,g4dn.xlarge,ap-northeast-3]",5.0
"s[17,g4dn.xlarge,ap-northeast-3]",5.0
"s[18,g4dn.xlarge,ap-northeast-3]",5.0
"s[19,g4dn.xlarge,ap-northeast-3]",5.0
"s[20,g4dn.xlarge,ap-northeast-3]",5.0
"s[21,g4dn.xlarge,ap-northeast-3]",5.0
"s[22,g4dn.xlarge,ap-northeast-3]",5.0
"s[23,g4dn.xlarge,ap-northeast-3]",5.0
"s[24,g4dn.xlarge,ap-northeast-3]",4.0
"s[25,g4dn.xlarge,ap-northeast-3]",4.0
"s[26,g4dn.xlarge,ap-northeast-3]",3.0
"s[27,g4dn.xlarge,ap-northeast-3]",3.0
"s[28,g4dn.xlarge,ap-northeast-3]",3.0
"s[29,g4dn.xlarge,ap-northeast-3]",3.0
"s[30,g4dn.xlarge,ap-northeast-3]",3.0
"s[31,g4dn.xlarge,ap-northeast-3]",3.0
"s[32,g4dn.xlarge,ap-northeast-3]",3.0
"s[33,g4dn.xlarge,ap-northeast-3]",3.0
"s[34,g4dn.xlarge,ap-northeast-3]",3.0
"s[35,g4dn.xlarge,ap-northeast-3]",3.0
"s[36,g4dn.xlarge,ap-northeast-3]",3.0
"s[37,g4dn.xlarge,ap-northeast-3]",3.0
"s[38,g4dn.xlarge,ap-northeast-3]",3.0
"s[39,g4dn.xlarge,ap-northeast-3]",3.0
"s[40,g4dn.xlarge,ap-northeast-3]",3.0
"s[41,g4dn.xlarge,ap-northeast-3]",3.0
"s[42,g4dn.xlarge,ap-northeast-3]",1.0
"s[43,g4dn.xlarge,ap-northeast-3]",1.0
"s[44,g4dn.xlarge,ap-northeast-3]",1.0
"s[45,g4dn.xlarge,ap-northeast-3]",1.0
"s[1,g4dn.xlarge,ap-south-1]",185.0
"s[2,g4dn.xlarge,ap-south-1]",185.0
"s[3,g4dn.xlarge,ap-south-1]",185.0
"s[4,g4dn.xlarge,ap-south-1]",185.0
"s[5,g4dn.xlarge,ap-south-1]",185.0
"s[6,g4dn.xlarge,ap-south-1]",185.0
"s[7,g4dn.xlarge,ap-south-1]",185.0
"s[8,g4dn.xlarge,ap-south-1]",185.0
"s[9,g4dn.xlarge,ap-south-1]",185.0
"s[10,g4dn.xlarge,ap-south-1]",185.0
"s[11,g4dn.xlarge,ap-south-1]",184.0
"s[12,g4dn.xlarge,ap-south-1]",183.0
"s[13,g4dn.xlarge,ap-south-1]",175.0
"s[14,g4dn.xlarge,ap-south-1]",168.0
"s[15,g4dn.xlarge,ap-south-1]",167.0
"s[16,g4dn.xlarge,ap-south-1]",167.0
"s[17,g4dn.xlarge,ap-south-1]",163.0
"s[18,g4dn.xlarge,ap-south-1]",152.0
"s[19,g4dn.xlarge,ap-south-1]",143.0
"s[20,g4dn.xlarge,ap-south-1]",139.0
