Variable,Value
"s[11,t4g.small,eu-south-1]",1.0
"s[12,t4g.small,eu-south-1]",1.0
"s[13,t4g.small,eu-south-1]",1.0
"s[14,t4g.small,eu-south-1]",1.0
"s[15,t4g.small,eu-south-1]",1.0
"s[16,t4g.small,eu-south-1]",1.0
"s[17,t4g.small,eu-south-1]",1.0
"s[18,t4g.small,eu-south-1]",1.0
"s[19,t4g.small,eu-south-1]",1.0
"s[20,t4g.small,eu-south-1]",1.0
"s[21,t4g.small,eu-south-1]",1.0
"s[22,t4g.small,eu-south-1]",1.0
"s[23,t4g.small,eu-south-1]",1.0
"s[24,t4g.small,eu-south-1]",1.0
"s[25,t4g.small,eu-south-1]",1.0
"s[26,t4g.small,eu-south-1]",1.0
"s[27,t4g.small,eu-south-1]",1.0
"s[28,t4g.small,eu-south-1]",1.0
"s[29,t4g.small,eu-south-1]",1.0
"s[30,t4g.small,eu-south-1]",1.0
"s[31,t4g.small,eu-south-1]",1.0
"s[32,t4g.small,eu-south-1]",1.0
"s[33,t4g.small,eu-south-1]",1.0
"s[39,t4g.small,eu-south-1]",9.0
"s[40,t4g.small,eu-south-1]",9.0
"s[41,t4g.small,eu-south-1]",12.0
"s[42,t4g.small,eu-south-1]",12.0
"s[43,t4g.small,eu-south-1]",12.0
"s[44,t4g.small,eu-south-1]",12.0
"s[45,t4g.small,eu-south-1]",12.0
"s[46,t4g.small,eu-south-1]",12.0
"s[47,t4g.small,eu-south-1]",12.0
"s[48,t4g.small,eu-south-1]",12.0
"s[49,t4g.small,eu-south-1]",12.0
"s[50,t4g.small,eu-south-1]",12.0
"s[51,t4g.small,eu-south-1]",12.0
"s[52,t4g.small,eu-south-1]",12.0
"s[53,t4g.small,eu-south-1]",12.0
"s[54,t4g.small,eu-south-1]",21.0
"s[55,t4g.small,eu-south-1]",21.0
"s[56,t4g.small,eu-south-1]",22.0
"s[57,t4g.small,eu-south-1]",22.0
"s[58,t4g.small,eu-south-1]",22.0
"s[59,t4g.small,eu-south-1]",22.0
"s[60,t4g.small,eu-south-1]",22.0
"s[61,t4g.small,eu-south-1]",22.0
"s[62,t4g.small,eu-south-1]",22.0
"s[63,t4g.small,eu-south-1]",25.0
"s[64,t4g.small,eu-south-1]",28.0
"s[65,t4g.small,eu-south-1]",28.0
"s[66,t4g.small,eu-south-1]",37.0
"s[67,t4g.small,eu-south-1]",37.0
"s[68,t4g.small,eu-south-1]",37.0
"s[69,t4g.small,eu-south-1]",37.0
"s[70,t4g.small,eu-south-1]",37.0
"s[71,t4g.small,eu-south-1]",37.0
"s[72,t4g.small,eu-south-1]",37.0
"s[73,t4g.small,eu-south-1]",35.0
"s[74,t4g.small,eu-south-1]",35.0
"s[75,t4g.small,eu-south-1]",35.0
"s[76,t4g.small,eu-south-1]",35.0
"s[77,t4g.small,eu-south-1]",23.0
"s[78,t4g.small,eu-south-1]",23.0
"s[79,t4g.small,eu-south-1]",23.0
"s[80,t4g.small,eu-south-1]",23.0
"s[81,t4g.small,eu-south-1]",23.0
"s[82,t4g.small,eu-south-1]",23.0
"s[83,t4g.small,eu-south-1]",23.0
"s[84,t4g.small,eu-south-1]",23.0
"s[85,t4g.small,eu-south-1]",26.0
"s[86,t4g.small,eu-south-1]",26.0
"s[87,t4g.small,eu-south-1]",26.0
"s[88,t4g.small,eu-south-1]",26.0
"s[89,t4g.small,eu-south-1]",25.0
"s[90,t4g.small,eu-south-1]",23.0
"s[91,t4g.small,eu-south-1]",23.0
"s[92,t4g.small,eu-south-1]",23.0
"s[93,t4g.small,eu-south-1]",23.0
"s[94,t4g.small,eu-south-1]",21.0
"s[95,t4g.small,eu-south-1]",16.0
"s[96,t4g.small,eu-south-1]",16.0
"s[97,t4g.small,eu-south-1]",16.0
