Variable,Value
"s[85,g4dn.xlarge,eu-south-1]",1.0
"s[86,g4dn.xlarge,eu-south-1]",1.0
"s[87,g4dn.xlarge,eu-south-1]",1.0
"s[88,g4dn.xlarge,eu-south-1]",1.0
"s[89,g4dn.xlarge,eu-south-1]",1.0
"s[90,g4dn.xlarge,eu-south-1]",1.0
"s[91,g4dn.xlarge,eu-south-1]",1.0
"s[92,g4dn.xlarge,eu-south-1]",1.0
"s[93,g4dn.xlarge,eu-south-1]",1.0
"s[94,g4dn.xlarge,eu-south-1]",1.0
"s[1,t4g.2xlarge,eu-west-2]",3.0
"s[2,t4g.2xlarge,eu-west-2]",4.0
"s[3,t4g.2xlarge,eu-west-2]",4.0
"s[4,t4g.2xlarge,eu-west-2]",4.0
"s[5,t4g.2xlarge,eu-west-2]",4.0
"s[6,t4g.2xlarge,eu-west-2]",4.0
"s[7,t4g.2xlarge,eu-west-2]",4.0
"s[8,t4g.2xlarge,eu-west-2]",4.0
"s[9,t4g.2xlarge,eu-west-2]",4.0
"s[10,t4g.2xlarge,eu-west-2]",4.0
"s[11,t4g.2xlarge,eu-west-2]",4.0
"s[12,t4g.2xlarge,eu-west-2]",4.0
"s[13,t4g.2xlarge,eu-west-2]",4.0
"s[14,t4g.2xlarge,eu-west-2]",4.0
"s[15,t4g.2xlarge,eu-west-2]",4.0
"s[16,t4g.2xlarge,eu-west-2]",2.0
"s[17,t4g.2xlarge,eu-west-2]",2.0
"s[18,t4g.2xlarge,eu-west-2]",2.0
"s[19,t4g.2xlarge,eu-west-2]",2.0
"s[20,t4g.2xlarge,eu-west-2]",2.0
"s[21,t4g.2xlarge,eu-west-2]",2.0
"s[47,g4dn.xlarge,us-east-1]",4.0
"s[48,g4dn.xlarge,us-east-1]",4.0
"s[49,g4dn.xlarge,us-east-1]",4.0
"s[50,g4dn.xlarge,us-east-1]",4.0
"s[51,g4dn.xlarge,us-east-1]",4.0
"a[85,1]",1.0
"a[2,2]",1.0
"a[1,3]",1.0
"a[47,4]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,1]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,2]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,3]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,4]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,5]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,6]",1.0
"z[2,2,t4g.2xlarge,eu-west-2,1]",1.0
"z[2,2,t4g.2xlarge,eu-west-2,2]",1.0
"z[2,2,t4g.2xlarge,eu-west-2,3]",1.0
"z[47,4,g4dn.xlarge,us-east-1,1]",1.0
"z[47,4,g4dn.xlarge,us-east-1,2]",1.0
"z[47,4,g4dn.xlarge,us-east-1,3]",1.0
"z[47,4,g4dn.xlarge,us-east-1,4]",1.0
"z[85,1,g4dn.xlarge,eu-south-1,1]",1.0
"z[85,1,g4dn.xlarge,eu-south-1,2]",1.0
"d[1,eu-south-1]",1.0
"d[2,eu-west-2]",1.0
"d[3,eu-west-2]",1.0
"d[4,us-east-1]",1.0
L[1],2.57
L[2],3.88
L[3],3.88
L[4],5.15
