Variable,Value
"s[43,g4dn.xlarge,eu-south-1]",1.0
"s[44,g4dn.xlarge,eu-south-1]",1.0
"s[45,g4dn.xlarge,eu-south-1]",1.0
"s[46,g4dn.xlarge,eu-south-1]",1.0
"s[47,g4dn.xlarge,eu-south-1]",1.0
"s[48,g4dn.xlarge,eu-south-1]",1.0
"s[49,g4dn.xlarge,eu-south-1]",1.0
"s[50,g4dn.xlarge,eu-south-1]",1.0
"s[51,g4dn.xlarge,eu-south-1]",1.0
"s[52,g4dn.xlarge,eu-south-1]",1.0
"s[1,t4g.2xlarge,eu-west-2]",3.0
"s[2,t4g.2xlarge,eu-west-2]",3.0
"s[3,t4g.2xlarge,eu-west-2]",3.0
"s[4,t4g.2xlarge,eu-west-2]",3.0
"s[5,t4g.2xlarge,eu-west-2]",3.0
"s[6,t4g.2xlarge,eu-west-2]",3.0
"s[7,t4g.2xlarge,eu-west-2]",3.0
"s[8,t4g.2xlarge,eu-west-2]",3.0
"s[9,t4g.2xlarge,eu-west-2]",3.0
"s[10,t4g.2xlarge,eu-west-2]",3.0
"s[11,t4g.2xlarge,eu-west-2]",3.0
"s[12,t4g.2xlarge,eu-west-2]",3.0
"s[13,t4g.2xlarge,eu-west-2]",3.0
"s[14,t4g.2xlarge,eu-west-2]",3.0
"s[15,t4g.2xlarge,eu-west-2]",3.0
"s[47,t4g.2xlarge,eu-west-2]",2.0
"s[48,t4g.2xlarge,eu-west-2]",2.0
"s[49,t4g.2xlarge,eu-west-2]",2.0
"s[50,t4g.2xlarge,eu-west-2]",2.0
"s[51,t4g.2xlarge,eu-west-2]",2.0
"s[52,t4g.2xlarge,eu-west-2]",2.0
"s[53,t4g.2xlarge,eu-west-2]",2.0
"s[54,t4g.2xlarge,eu-west-2]",2.0
"s[55,t4g.2xlarge,eu-west-2]",2.0
"s[56,t4g.2xlarge,eu-west-2]",2.0
"s[57,t4g.2xlarge,eu-west-2]",2.0
"s[58,t4g.2xlarge,eu-west-2]",2.0
"s[59,t4g.2xlarge,eu-west-2]",2.0
"s[60,t4g.2xlarge,eu-west-2]",2.0
"s[61,t4g.2xlarge,eu-west-2]",2.0
"s[62,t4g.2xlarge,eu-west-2]",2.0
"s[63,t4g.2xlarge,eu-west-2]",2.0
"s[64,t4g.2xlarge,eu-west-2]",2.0
"s[65,t4g.2xlarge,eu-west-2]",2.0
"s[66,t4g.2xlarge,eu-west-2]",2.0
"s[47,g4dn.xlarge,us-east-1]",4.0
"s[48,g4dn.xlarge,us-east-1]",4.0
"s[49,g4dn.xlarge,us-east-1]",4.0
"s[50,g4dn.xlarge,us-east-1]",4.0
"s[51,g4dn.xlarge,us-east-1]",4.0
"a[43,1]",1.0
"a[47,2]",1.0
"a[1,3]",1.0
"a[47,4]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,1]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,2]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,3]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,4]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,5]",1.0
"z[1,3,t4g.2xlarge,eu-west-2,6]",1.0
"z[43,1,g4dn.xlarge,eu-south-1,1]",1.0
"z[43,1,g4dn.xlarge,eu-south-1,2]",1.0
"z[47,2,t4g.2xlarge,eu-west-2,1]",1.0
"z[47,2,t4g.2xlarge,eu-west-2,2]",1.0
"z[47,2,t4g.2xlarge,eu-west-2,3]",1.0
"z[47,4,g4dn.xlarge,us-east-1,1]",1.0
"z[47,4,g4dn.xlarge,us-east-1,2]",1.0
"z[47,4,g4dn.xlarge,us-east-1,3]",1.0
"z[47,4,g4dn.xlarge,us-east-1,4]",1.0
"d[1,eu-south-1]",1.0
"d[1,eu-west-2]",1.0
"d[2,eu-west-2]",1.0
"d[3,eu-west-2]",1.0
"d[1,us-east-1]",1.0
"d[4,us-east-1]",1.0
L[1],102.16
L[2],3.88
L[3],3.88
L[4],5.15
