Variable,Value
"s[55,t4g.small,eu-south-1]",4.0
"s[56,t4g.small,eu-south-1]",4.0
"s[57,t4g.small,eu-south-1]",4.0
"s[58,t4g.small,eu-south-1]",4.0
"s[59,t4g.small,eu-south-1]",4.0
"s[60,t4g.small,eu-south-1]",4.0
"s[61,t4g.small,eu-south-1]",4.0
"s[62,t4g.small,eu-south-1]",4.0
"s[63,t4g.small,eu-south-1]",4.0
"s[64,t4g.small,eu-south-1]",4.0
"s[65,t4g.small,eu-south-1]",4.0
"s[66,t4g.small,eu-south-1]",4.0
"s[67,t4g.small,eu-south-1]",4.0
"s[68,t4g.small,eu-south-1]",4.0
"s[69,t4g.small,eu-south-1]",4.0
"s[70,t4g.small,eu-south-1]",4.0
"s[71,t4g.small,eu-south-1]",4.0
"s[72,t4g.small,eu-south-1]",4.0
"s[73,t4g.small,eu-south-1]",4.0
"s[74,t4g.small,eu-south-1]",4.0
"s[28,g4dn.xlarge,eu-south-1]",1.0
"s[29,g4dn.xlarge,eu-south-1]",1.0
"s[30,g4dn.xlarge,eu-south-1]",1.0
"s[31,g4dn.xlarge,eu-south-1]",1.0
"s[32,g4dn.xlarge,eu-south-1]",1.0
"s[33,g4dn.xlarge,eu-south-1]",1.0
"s[34,g4dn.xlarge,eu-south-1]",1.0
"s[35,g4dn.xlarge,eu-south-1]",1.0
"s[36,g4dn.xlarge,eu-south-1]",1.0
"s[37,g4dn.xlarge,eu-south-1]",1.0
"s[55,t4g.2xlarge,eu-west-2]",1.0
"s[56,t4g.2xlarge,eu-west-2]",1.0
"s[57,t4g.2xlarge,eu-west-2]",1.0
"s[58,t4g.2xlarge,eu-west-2]",1.0
"s[59,t4g.2xlarge,eu-west-2]",3.0
"s[60,t4g.2xlarge,eu-west-2]",3.0
"s[61,t4g.2xlarge,eu-west-2]",3.0
"s[62,t4g.2xlarge,eu-west-2]",3.0
"s[63,t4g.2xlarge,eu-west-2]",3.0
"s[64,t4g.2xlarge,eu-west-2]",3.0
"s[65,t4g.2xlarge,eu-west-2]",3.0
"s[66,t4g.2xlarge,eu-west-2]",3.0
"s[67,t4g.2xlarge,eu-west-2]",3.0
"s[68,t4g.2xlarge,eu-west-2]",3.0
"s[69,t4g.2xlarge,eu-west-2]",3.0
"s[70,t4g.2xlarge,eu-west-2]",3.0
"s[71,t4g.2xlarge,eu-west-2]",3.0
"s[72,t4g.2xlarge,eu-west-2]",3.0
"s[73,t4g.2xlarge,eu-west-2]",3.0
"s[74,t4g.2xlarge,eu-west-2]",1.0
"s[16,g4dn.xlarge,us-east-1]",4.0
"s[17,g4dn.xlarge,us-east-1]",4.0
"s[18,g4dn.xlarge,us-east-1]",4.0
"s[19,g4dn.xlarge,us-east-1]",4.0
"s[20,g4dn.xlarge,us-east-1]",4.0
"a[28,1]",1.0
"a[55,2]",1.0
"a[59,3]",1.0
"a[16,4]",1.0
"z[16,4,g4dn.xlarge,us-east-1,1]",1.0
"z[16,4,g4dn.xlarge,us-east-1,2]",1.0
"z[16,4,g4dn.xlarge,us-east-1,3]",1.0
"z[16,4,g4dn.xlarge,us-east-1,4]",1.0
"z[28,1,g4dn.xlarge,eu-south-1,1]",1.0
"z[28,1,g4dn.xlarge,eu-south-1,2]",1.0
"z[55,2,t4g.small,eu-south-1,2]",1.0
"z[55,2,t4g.small,eu-south-1,3]",1.0
"z[55,2,t4g.2xlarge,eu-west-2,1]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,1]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,2]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,3]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,4]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,5]",1.0
"z[59,3,t4g.2xlarge,eu-west-2,6]",1.0
"d[1,eu-south-1]",46.0
"d[2,eu-south-1]",1.0
"d[1,eu-west-2]",4.0
"d[2,eu-west-2]",7.0
"d[3,eu-west-2]",5.0
"d[1,us-east-1]",1.0
"d[4,us-east-1]",1.0
"d[1,ap-south-1]",1.0
L[1],120.0
L[2],30.0
L[3],20.0
L[4],10.0
