Variable,Value
"s[35,t4g.small,eu-south-1]",2.0
"s[36,t4g.small,eu-south-1]",2.0
"s[37,t4g.small,eu-south-1]",2.0
"s[38,t4g.small,eu-south-1]",2.0
"s[39,t4g.small,eu-south-1]",2.0
"s[40,t4g.small,eu-south-1]",2.0
"s[41,t4g.small,eu-south-1]",2.0
"s[42,t4g.small,eu-south-1]",2.0
"s[43,t4g.small,eu-south-1]",2.0
"s[44,t4g.small,eu-south-1]",2.0
"s[45,t4g.small,eu-south-1]",2.0
"s[46,t4g.small,eu-south-1]",2.0
"s[47,t4g.small,eu-south-1]",2.0
"s[48,t4g.small,eu-south-1]",2.0
"s[49,t4g.small,eu-south-1]",2.0
"s[50,t4g.small,eu-south-1]",2.0
"s[51,t4g.small,eu-south-1]",2.0
"s[52,t4g.small,eu-south-1]",2.0
"s[53,t4g.small,eu-south-1]",2.0
"s[54,t4g.small,eu-south-1]",2.0
"s[55,t4g.small,eu-south-1]",2.0
"s[56,t4g.small,eu-south-1]",2.0
"s[57,t4g.small,eu-south-1]",2.0
"s[58,t4g.small,eu-south-1]",2.0
"s[59,t4g.small,eu-south-1]",2.0
"s[60,t4g.small,eu-south-1]",11.0
"s[61,t4g.small,eu-south-1]",11.0
"s[62,t4g.small,eu-south-1]",11.0
"s[63,t4g.small,eu-south-1]",11.0
"s[64,t4g.small,eu-south-1]",11.0
"s[65,t4g.small,eu-south-1]",11.0
"s[66,t4g.small,eu-south-1]",11.0
"s[67,t4g.small,eu-south-1]",11.0
"s[68,t4g.small,eu-south-1]",11.0
"s[69,t4g.small,eu-south-1]",9.0
"s[70,t4g.small,eu-south-1]",9.0
"s[71,t4g.small,eu-south-1]",9.0
"s[72,t4g.small,eu-south-1]",9.0
"s[73,t4g.small,eu-south-1]",9.0
"s[74,t4g.small,eu-south-1]",9.0
"s[75,t4g.small,eu-south-1]",9.0
"s[76,t4g.small,eu-south-1]",9.0
"s[12,g4dn.2xlarge,eu-south-1]",1.0
"s[13,g4dn.2xlarge,eu-south-1]",1.0
"s[14,g4dn.2xlarge,eu-south-1]",1.0
"s[15,g4dn.2xlarge,eu-south-1]",1.0
"s[16,g4dn.2xlarge,eu-south-1]",1.0
"s[17,g4dn.2xlarge,eu-south-1]",1.0
"s[18,g4dn.2xlarge,eu-south-1]",1.0
"s[19,g4dn.2xlarge,eu-south-1]",1.0
"s[20,g4dn.2xlarge,eu-south-1]",1.0
"s[21,g4dn.2xlarge,eu-south-1]",1.0
"s[22,g4dn.2xlarge,eu-south-1]",1.0
"s[23,g4dn.2xlarge,eu-south-1]",1.0
"s[24,g4dn.2xlarge,eu-south-1]",5.0
"s[25,g4dn.2xlarge,eu-south-1]",14.0
"s[26,g4dn.2xlarge,eu-south-1]",14.0
"s[27,g4dn.2xlarge,eu-south-1]",14.0
"s[28,g4dn.2xlarge,eu-south-1]",14.0
"s[29,g4dn.2xlarge,eu-south-1]",17.0
"s[30,g4dn.2xlarge,eu-south-1]",17.0
