name,cpu,gpu,ram,duration,location,replicas,latency
anomaly,1,5,3,22,ap-south-1,3,5
preprocessing,1,5,6,36,eu-south-1,3,10
preprocessing,3,6,6,32,us-east-1,6,15
anomaly,4,1,4,37,eu-west-2,2,8
preprocessing,3,7,3,15,ap-northeast-3,2,5
anomaly,3,7,3,27,eu-west-2,6,11
preprocessing,4,6,4,18,eu-south-1,5,9
anomaly,2,7,5,28,ap-northeast-3,1,12
anomaly,3,0,4,24,us-east-1,5,9
datacollection,2,3,5,18,ap-northeast-3,6,14
datacollection,4,6,6,43,us-east-1,2,11
anomaly,4,0,2,27,ap-south-1,4,14
datacollection,3,0,6,32,eu-south-1,2,5
datacollection,2,0,5,13,us-west-1,4,6
preprocessing,1,3,4,32,us-west-1,6,5
preprocessing,3,3,6,24,ap-northeast-3,6,5
preprocessing,2,7,2,45,us-east-1,3,10
anomaly,3,5,6,14,ap-south-1,6,14
anomaly,1,1,4,12,ap-south-1,4,5
anomaly,1,8,5,49,ap-northeast-3,3,14
datacollection,2,8,2,37,ap-northeast-3,2,10
anomaly,3,1,5,14,eu-west-2,3,8
datacollection,3,5,6,42,eu-south-1,5,13
anomaly,1,5,6,21,eu-west-2,2,5
preprocessing,3,8,2,49,eu-west-2,6,13
datacollection,4,8,6,25,eu-west-2,5,9
preprocessing,1,1,3,38,eu-west-2,1,10
datacollection,4,2,6,35,us-east-1,4,11
preprocessing,1,6,6,38,us-west-1,2,5
anomaly,4,6,2,30,ap-northeast-3,1,12
datacollection,2,2,2,36,ap-northeast-3,1,8
anomaly,2,5,2,42,ap-south-1,3,12
anomaly,3,5,4,14,eu-south-1,2,14
datacollection,4,1,3,31,eu-west-2,4,8
anomaly,3,8,3,32,eu-west-2,3,10
preprocessing,4,6,4,19,ap-northeast-3,2,14
preprocessing,3,5,5,32,eu-south-1,1,13
datacollection,1,0,3,23,eu-west-2,5,5
anomaly,1,3,3,46,us-west-1,4,14
anomaly,3,4,6,45,ap-south-1,2,14
anomaly,3,5,4,33,ap-northeast-3,5,11
anomaly,1,4,2,10,eu-south-1,1,14
anomaly,3,5,4,42,eu-west-2,4,5
preprocessing,4,8,4,40,us-east-1,6,10
anomaly,3,4,6,19,ap-south-1,1,10
datacollection,1,7,5,17,us-east-1,6,13
preprocessing,3,3,6,24,us-east-1,3,6
datacollection,4,2,2,10,us-west-1,1,12
datacollection,2,1,5,37,ap-south-1,4,14
datacollection,1,1,6,15,us-east-1,1,13
anomaly,1,7,3,46,us-west-1,5,13
preprocessing,2,2,2,37,eu-south-1,5,14
anomaly,3,8,3,27,eu-west-2,2,14
preprocessing,2,5,5,23,ap-south-1,1,14
datacollection,3,7,4,15,ap-south-1,4,7
preprocessing,1,8,5,12,us-east-1,3,11
anomaly,1,4,5,49,eu-west-2,3,9
preprocessing,4,5,3,34,ap-northeast-3,2,7
preprocessing,1,0,2,15,eu-south-1,4,12
anomaly,2,1,4,43,eu-west-2,4,13
anomaly,4,1,6,25,us-west-1,6,9
datacollection,4,8,4,33,us-west-1,5,10
anomaly,1,2,4,46,us-west-1,5,9
datacollection,2,1,5,33,ap-south-1,1,7
anomaly,4,7,4,19,us-west-1,1,8
datacollection,2,0,2,22,eu-west-2,3,8
datacollection,1,1,3,18,us-east-1,2,7
anomaly,4,2,4,50,eu-south-1,1,11
datacollection,2,6,6,38,ap-south-1,2,7
anomaly,2,5,6,48,eu-west-2,5,14
anomaly,1,6,5,40,ap-northeast-3,4,14
datacollection,2,6,4,22,us-west-1,4,12
datacollection,1,2,3,19,eu-west-2,6,5
preprocessing,1,6,5,28,eu-south-1,6,15
preprocessing,1,7,4,18,us-west-1,5,8
preprocessing,1,5,5,50,eu-south-1,5,12
preprocessing,4,8,3,24,ap-south-1,4,6
datacollection,3,6,4,37,us-east-1,5,10
datacollection,4,5,6,40,ap-south-1,5,6
anomaly,3,5,2,39,ap-south-1,3,15
anomaly,1,4,2,39,eu-south-1,6,12
datacollection,4,3,4,11,ap-northeast-3,5,9
datacollection,3,0,6,36,us-east-1,6,11
datacollection,2,2,5,12,ap-northeast-3,5,5
preprocessing,2,1,6,50,us-west-1,1,12
preprocessing,1,3,5,27,eu-west-2,1,14
preprocessing,3,0,3,49,us-east-1,3,8
preprocessing,1,3,4,14,us-east-1,6,10
anomaly,4,1,5,22,ap-northeast-3,5,6
datacollection,1,5,4,28,eu-west-2,3,8
preprocessing,1,5,4,24,ap-northeast-3,2,14
datacollection,4,2,5,45,us-west-1,4,13
preprocessing,2,3,3,25,us-west-1,4,14
anomaly,2,8,2,26,ap-south-1,4,14
anomaly,1,7,5,34,us-west-1,1,5
preprocessing,3,7,5,40,eu-south-1,2,6
datacollection,1,2,3,41,eu-south-1,6,5
datacollection,1,2,2,46,eu-south-1,5,9
preprocessing,1,4,6,46,eu-south-1,5,15
datacollection,1,4,6,17,eu-south-1,5,9
