usecase,name,cpu,gpu,ram,duration,location,replicas,latency
smartcity,aggregation,3,1,1,31,us-east-1,5,356
smartcity,analysis,3,4,3,37,ap-south-1,1,452
smartcity,analysis,3,1,1,38,ap-south-1,1,352
smartcity,analysis,1,0,1,11,eu-west-2,4,394
smartcity,analysis,3,4,3,20,eu-south-1,1,341
smartcity,aggregation,2,2,2,21,ap-south-1,6,350
smartcity,aggregation,2,2,1,42,eu-west-2,6,327
smartcity,aggregation,2,0,1,42,eu-west-2,2,441
smartcity,aggregation,2,1,3,41,us-west-1,3,201
smartcity,analysis,2,2,3,25,us-east-1,4,218
smartcity,aggregation,2,4,1,25,eu-west-2,6,239
smartcity,aggregation,1,3,1,22,us-west-1,4,405
smartcity,aggregation,3,0,3,16,us-west-1,5,236
smartcity,analysis,3,3,1,38,us-west-1,4,439
smartcity,analysis,3,3,2,42,ap-south-1,4,455
smartcity,aggregation,2,0,2,24,us-east-1,2,237
smartcity,aggregation,2,4,1,39,eu-west-2,2,270
smartcity,analysis,3,2,3,23,us-west-1,1,317
smartcity,analysis,1,4,2,18,eu-west-2,2,211
smartcity,analysis,2,0,1,17,us-west-1,2,238
smartcity,analysis,2,1,2,18,eu-south-1,2,321
smartcity,aggregation,2,1,1,21,eu-west-2,4,372
smartcity,aggregation,2,0,3,43,eu-south-1,5,302
smartcity,aggregation,2,0,2,18,us-west-1,5,290
smartcity,aggregation,3,1,3,45,ap-northeast-3,1,209
smartcity,aggregation,3,0,1,19,ap-northeast-3,5,496
smartcity,aggregation,1,1,3,33,us-west-1,4,270
smartcity,analysis,3,3,3,49,us-west-1,3,461
smartcity,aggregation,3,2,2,18,eu-south-1,5,330
smartcity,analysis,1,2,2,13,ap-south-1,3,337
smartcity,aggregation,2,4,2,28,us-east-1,6,472
smartcity,aggregation,1,1,3,40,us-east-1,2,408
smartcity,aggregation,2,4,2,34,us-east-1,4,245
smartcity,analysis,3,0,2,17,us-west-1,6,435
smartcity,aggregation,2,2,1,29,eu-south-1,5,348
smartcity,analysis,3,2,2,21,ap-northeast-3,6,449
smartcity,aggregation,3,1,3,44,us-east-1,3,362
smartcity,analysis,3,0,2,29,us-east-1,3,259
smartcity,analysis,3,0,3,37,eu-west-2,1,382
smartcity,analysis,3,1,2,31,eu-west-2,4,435
smartcity,aggregation,1,1,2,27,eu-west-2,2,442
smartcity,analysis,1,2,3,49,us-east-1,4,335
smartcity,analysis,2,3,2,32,ap-northeast-3,5,276
smartcity,analysis,2,3,3,14,eu-west-2,2,319
smartcity,analysis,1,0,3,46,eu-west-2,5,385
smartcity,aggregation,3,4,2,47,eu-south-1,4,328
smartcity,aggregation,3,4,2,47,us-west-1,2,362
smartcity,aggregation,1,2,3,37,ap-south-1,2,364
smartcity,aggregation,1,2,1,44,ap-south-1,4,275
smartcity,analysis,3,3,2,28,us-east-1,1,424
smartcity,analysis,3,3,2,14,us-west-1,5,227
smartcity,analysis,1,1,2,12,ap-south-1,5,341
smartcity,analysis,3,3,2,12,us-west-1,6,243
smartcity,analysis,2,4,2,36,ap-northeast-3,5,426
smartcity,aggregation,1,4,3,25,eu-west-2,5,495
smartcity,analysis,2,3,2,13,eu-west-2,4,385
smartcity,analysis,1,1,1,44,ap-south-1,2,425
smartcity,analysis,1,1,2,28,ap-northeast-3,6,240
smartcity,aggregation,2,0,3,22,eu-west-2,5,428
smartcity,aggregation,2,2,3,21,eu-west-2,4,254
smartcity,aggregation,2,2,3,45,us-east-1,4,392
smartcity,aggregation,2,2,3,29,ap-south-1,1,223
smartcity,aggregation,3,3,2,50,us-west-1,6,360
smartcity,aggregation,2,1,1,48,eu-south-1,6,463
smartcity,aggregation,2,2,1,36,us-east-1,3,484
smartcity,aggregation,1,0,2,38,ap-northeast-3,4,368
smartcity,aggregation,2,4,2,17,eu-south-1,5,356
smartcity,aggregation,3,4,3,37,eu-west-2,3,363
smartcity,analysis,3,0,3,12,ap-northeast-3,2,287
smartcity,aggregation,3,3,1,24,ap-south-1,5,320
smartcity,aggregation,2,0,2,47,eu-west-2,6,470
smartcity,analysis,3,3,1,25,us-west-1,1,241
smartcity,aggregation,2,4,3,30,eu-south-1,2,320
smartcity,aggregation,3,4,3,25,ap-northeast-3,4,321
smartcity,analysis,3,4,2,44,us-west-1,3,324
smartcity,aggregation,2,1,1,13,us-east-1,4,302
smartcity,analysis,2,2,3,33,ap-south-1,2,316
smartcity,analysis,3,2,2,37,ap-south-1,1,274
smartcity,analysis,2,1,1,10,us-west-1,3,412
smartcity,analysis,2,4,1,17,eu-west-2,6,244
smartcity,aggregation,2,4,3,42,us-west-1,5,359
smartcity,analysis,2,0,3,26,eu-south-1,1,259
smartcity,aggregation,2,3,3,31,ap-south-1,6,250
smartcity,aggregation,3,1,3,46,eu-west-2,2,225
smartcity,analysis,3,4,3,31,eu-south-1,2,407
smartcity,aggregation,3,0,3,36,us-east-1,1,411
smartcity,analysis,3,1,3,13,ap-south-1,4,327
smartcity,aggregation,3,2,1,18,us-east-1,2,255
smartcity,aggregation,2,4,3,38,ap-south-1,2,444
smartcity,aggregation,2,1,2,28,ap-northeast-3,6,490
smartcity,analysis,1,1,2,41,eu-south-1,2,306
smartcity,aggregation,3,2,1,43,ap-south-1,4,286
smartcity,aggregation,1,3,1,43,us-west-1,1,312
smartcity,aggregation,1,4,3,40,ap-northeast-3,4,328
smartcity,analysis,3,1,2,25,us-west-1,1,404
smartcity,aggregation,2,1,3,36,ap-northeast-3,6,377
smartcity,analysis,1,2,2,41,us-east-1,4,487
smartcity,aggregation,3,0,2,31,eu-south-1,6,283
smartcity,aggregation,3,3,1,46,ap-northeast-3,2,468
smartcity,aggregation,2,2,3,27,ap-south-1,6,304
