name,cpu,gpu,ram,duration,location,replicas,latency
analysis,1,2,1,16,ap-northeast-3,6,443
analysis,1,4,2,31,us-west-1,2,366
aggregation,1,3,2,20,eu-west-2,5,277
aggregation,2,4,2,10,eu-south-1,4,247
analysis,1,2,1,14,eu-west-2,2,423
analysis,1,2,1,16,us-east-1,1,452
aggregation,3,4,3,33,ap-south-1,4,448
analysis,2,1,1,27,us-west-1,5,238
aggregation,3,4,3,42,us-west-1,4,375
aggregation,2,2,1,26,us-east-1,2,409
aggregation,1,3,3,45,us-west-1,5,498
analysis,3,1,3,31,eu-south-1,5,324
aggregation,2,1,3,14,ap-northeast-3,3,328
analysis,3,4,2,26,eu-south-1,5,223
aggregation,2,3,1,39,eu-south-1,6,216
aggregation,1,2,1,41,us-east-1,6,446
analysis,3,2,3,31,eu-west-2,3,495
aggregation,2,0,1,29,ap-northeast-3,5,270
analysis,2,4,1,14,us-west-1,6,301
aggregation,3,2,1,47,ap-northeast-3,4,415
aggregation,1,0,3,46,eu-south-1,2,219
analysis,3,2,3,14,eu-south-1,2,274
aggregation,1,1,1,46,eu-south-1,1,434
analysis,3,4,1,41,us-east-1,3,286
analysis,3,0,3,26,eu-west-2,1,392
analysis,1,0,2,15,us-east-1,4,484
aggregation,1,0,2,28,ap-northeast-3,5,366
analysis,3,0,1,46,eu-west-2,4,247
aggregation,1,2,1,45,eu-south-1,6,384
analysis,3,1,1,24,ap-south-1,6,308
aggregation,1,0,1,36,eu-south-1,4,440
analysis,1,3,1,28,us-east-1,2,299
analysis,1,0,1,34,eu-south-1,3,461
aggregation,2,0,2,37,eu-south-1,3,283
aggregation,2,3,1,31,eu-south-1,5,278
aggregation,2,0,2,23,us-west-1,1,461
aggregation,3,1,1,44,ap-northeast-3,4,320
aggregation,2,4,1,17,us-west-1,4,456
analysis,3,2,3,37,us-east-1,2,397
aggregation,2,0,3,19,ap-south-1,2,486
aggregation,1,0,3,33,us-east-1,1,495
analysis,3,1,3,26,ap-northeast-3,6,451
aggregation,1,4,3,26,eu-west-2,6,471
analysis,1,3,1,18,eu-south-1,2,307
analysis,3,3,1,37,eu-south-1,2,405
analysis,1,4,3,48,us-west-1,3,202
analysis,2,1,1,46,eu-south-1,2,282
aggregation,3,0,1,38,us-west-1,6,475
analysis,3,1,2,20,eu-south-1,5,394
aggregation,1,0,3,36,us-east-1,6,309
