name,cpu,gpu,ram,duration,location,replicas,latency
decoding,2,5,4,20,eu-west-2,5,17
decoding,3,7,3,49,eu-south-1,3,22
preprocessing,2,12,4,12,eu-south-1,5,13
decoding,4,1,4,45,ap-south-1,4,97
capturing,4,5,3,30,ap-south-1,5,64
rendering,4,8,4,22,eu-south-1,5,20
capturing,3,12,4,38,ap-northeast-3,2,56
decoding,3,10,3,13,us-west-1,3,82
preprocessing,4,12,4,31,us-east-1,5,15
preprocessing,4,12,3,41,eu-west-2,3,76
decoding,2,0,4,38,ap-northeast-3,3,20
decoding,3,4,4,47,ap-northeast-3,4,46
rendering,2,12,3,43,us-east-1,5,113
preprocessing,4,5,2,33,us-east-1,5,39
decoding,3,3,2,26,eu-south-1,6,92
rendering,3,12,3,20,us-east-1,1,116
decoding,2,2,4,25,ap-south-1,3,30
preprocessing,2,12,4,41,eu-west-2,3,115
decoding,2,0,3,20,ap-northeast-3,1,36
decoding,2,12,2,47,eu-south-1,2,52
capturing,3,3,2,46,eu-west-2,5,36
decoding,2,4,2,34,ap-northeast-3,6,41
capturing,4,3,2,23,us-east-1,5,71
preprocessing,2,1,2,30,ap-south-1,3,47
capturing,2,9,4,33,us-east-1,2,100
preprocessing,4,0,4,42,ap-south-1,6,62
decoding,2,6,2,46,ap-south-1,5,46
decoding,3,8,4,15,eu-south-1,4,55
decoding,2,9,2,18,us-west-1,1,59
preprocessing,4,2,4,32,ap-south-1,1,113
preprocessing,2,11,4,40,ap-south-1,3,93
preprocessing,2,5,4,44,us-west-1,2,84
decoding,2,3,3,39,us-west-1,5,114
preprocessing,3,3,3,23,ap-northeast-3,4,91
decoding,3,10,2,26,ap-south-1,6,58
preprocessing,3,4,2,17,us-east-1,3,61
decoding,3,9,3,34,us-west-1,5,30
preprocessing,4,2,2,50,eu-south-1,5,65
decoding,3,10,2,18,ap-south-1,5,107
decoding,4,7,2,32,us-east-1,6,28
decoding,3,11,2,47,ap-northeast-3,4,11
rendering,4,10,4,14,us-east-1,1,61
capturing,4,1,3,50,ap-south-1,5,84
capturing,3,7,2,28,ap-south-1,5,30
preprocessing,3,0,4,23,us-west-1,5,14
rendering,3,2,3,12,eu-west-2,3,49
rendering,3,9,4,31,us-west-1,5,101
rendering,3,8,4,35,ap-south-1,1,35
rendering,3,10,3,28,us-east-1,3,116
rendering,3,11,3,20,eu-south-1,1,13
